Gene,dropout,highly_variable,F_pval,Adj_F_pval
TCF7,0.798227675528289,1,3.3638865499341826e-181,1.367245665045507e-176
PLAC8,0.9420586230402181,1,3.0768705552441368e-117,4.354990638395102e-112
SPINT2,0.8950238582140423,1,1.527075772539522e-100,1.1929899687237173e-95
CD7,0.3074301295160191,1,8.36204520589321e-87,9.901835996071736e-83
LEF1,0.8445807770961146,1,2.802061811363523e-82,1.4785628499251598e-77
RPS4X,0.0,0,3.1118802749132314e-78,2.552053013456341e-74
GSTM2,0.8064076346284935,1,1.3939188843691141e-77,5.904948136138447e-73
FTL,0.0,1,6.310858942543755e-74,5.175535418780133e-70
SPOCK2,0.5023858214042263,1,5.6800253973700345e-74,9.361045220874114e-70
SIRPG,0.89093387866394,1,2.292918154829012e-72,1.7241120851645784e-67
CD6,0.6980231765507839,0,5.605006649941985e-69,1.5221916374620223e-64
CCL5,0.1056578050443081,1,3.8351427220328225e-66,3.5167753060057057e-62
FTH1,0.0006816632583503749,1,4.578542792600808e-66,3.757424242263909e-62
MT-CO3,0.019768234492160874,1,1.1809295840511597e-62,9.880115968070113e-59
LGALS1,0.1329243353783231,1,1.2116593286844772e-61,1.1460151126346095e-57
GZMA,0.278118609406953,1,7.934400357841054e-60,9.013948576953555e-56
MT-CO1,0.0013633265167007499,1,2.595033809574647e-59,2.1310926022864102e-55
PECAM1,0.9066121336059987,1,8.52674383639352e-60,7.487892046621915e-55
NKG7,0.40081799591002043,1,3.78419038453856e-58,5.179418796252818e-54
CD5,0.6448534423994546,0,3.466647893977484e-57,8.005140066847065e-53
C1orf162,0.8657123381049762,1,1.4087867616168573e-54,8.603515817448285e-50
FCER1G,0.9100204498977505,1,2.872156276556355e-50,2.6177674368533895e-45
GBP5,0.6789366053169734,1,3.331523512458241e-49,8.509791143473024e-45
AIF1,0.9427402862985685,1,1.4388459430340457e-49,2.0607814493014513e-44
AHNAK,0.44103612815269255,1,1.473220656699276e-48,2.1614782661465423e-44
IL7R,0.19359236537150648,1,3.365593150663736e-47,3.4227391015846468e-43
BEX3,0.8997955010224948,1,2.7373729345096164e-45,2.2403380751350266e-40
ARMH1,0.9406952965235174,1,8.169145610218383e-44,1.1296770613812778e-38
HOPX,0.2719836400817996,1,1.0114689764078355e-41,1.139405311777978e-37
LRRN3,0.6748466257668712,1,9.810912678810226e-41,2.474502842502716e-36
EEF1A1,0.0,0,3.790425950895608e-40,3.1085283223294885e-36
PDE4D,0.6134969325153374,1,1.64766309227519e-40,3.496087393998508e-36
B2M,0.0,0,7.358393916793767e-40,6.034618851162568e-36
FYB1,0.36400817995910023,1,4.419023658132346e-39,5.698251436317655e-35
RPLP0,0.011588275391956374,1,9.403205784632029e-39,7.801980563347488e-35
RPS2,0.002044989775051125,1,1.1089687519657478e-38,9.113289318344194e-35
SH3BGRL3,0.002044989775051125,0,3.409870763782872e-38,2.8021654129959116e-34
PASK,0.7334696659850034,1,1.86524591600154e-38,5.739264843403504e-34
RRS1,0.9045671438309475,1,9.269452730306701e-39,7.96568235436477e-34
IL9R,0.9086571233810498,1,8.887641828390859e-38,7.979554983657257e-33
LINC02694,0.8575323790047716,1,2.0223242499289146e-37,1.164129860371748e-32
CD27,0.5753237900477164,1,2.0883863195823217e-36,4.032921036198139e-32
RPL13,0.0,0,5.5366273765177546e-36,4.5405881114822106e-32
CD84,0.9229720518064076,0,8.120626957160506e-37,8.645856891877233e-32
RPS8,0.0,0,4.577262949461089e-35,3.753813344853039e-31
HLA-DPA1,0.8179959100204499,1,2.970919648863117e-35,1.338679369406699e-30
JAK2,0.5241990456714383,1,8.025447750738967e-35,1.3832821562262129e-30
CD74,0.07975460122699386,1,3.915384141864641e-34,3.4892937677542684e-30
GPR15,0.8384458077709611,1,2.716643604275628e-34,1.3790539193856835e-29
RPS23,0.0013633265167007499,0,7.386378489542732e-33,6.065838718044334e-29
MAL,0.37355146557600544,1,6.222817078951162e-33,8.146450994797599e-29
HCST,0.11179277436946149,0,1.5440421376123585e-32,1.425645863392938e-28
PYHIN1,0.3605998636673483,0,1.8190573759785003e-32,2.333138310849289e-28
RPL18A,0.002044989775051125,0,4.077463712634912e-31,3.350780302188309e-27
CD52,0.007498295841854124,1,4.5499906759106405e-31,3.759638233044026e-27
IFITM1,0.015678254942058625,1,1.0465443021152324e-30,8.71941503348766e-27
SLC25A6,0.06612133605998637,0,2.425288910304765e-30,2.1298049866023036e-26
MALAT1,0.0,0,3.0758676100282377e-30,2.5225190269841579e-26
MT2A,0.2365371506475801,1,2.516998564296536e-30,2.703720979128801e-26
RPS12,0.0006816632583503749,0,4.604065565409139e-30,3.778369746024362e-26
IFITM2,0.049079754601226995,1,4.746722656664623e-30,4.0937053023812713e-26
