,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample3', 'CD8')","('Sample4', 'CD4')","('Sample5', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_65,CD27,SATB1,TPT1,,AOAH,,,SH3BGRL3,
Gene_66,RPS4X,RUNX1,RACK1,,RPS18,,,SNED1,
Gene_67,RPL7,LYST,PDE4D,,CCR3,,,AC108134.3,
Gene_68,EEF1B2,CCDC50,RPS3A,,RPSA,,,RPS5,
Gene_69,GZMA,C1orf21,SLC25A6,,CRIP1,,,FOXP3,
Gene_70,RPS3A,IKZF2,RPS18,,RPL18,,,PALLD,
Gene_71,RPS21,RPL28,MALAT1,,MT-CYB,,,PLPP1,
Gene_72,GNLY,TIMP1,NFKBIA,,HLA-DPB1,,,FTH1,
Gene_73,RPL14,JUN,LAG3,,RPS5,,,LIMA1,
Gene_74,SP140,IER2,GBP4,,GNLY,,,DOCK5,
Gene_75,RPL6,PTMA,HLA-DRA,,CACNA2D4,,,RPS6,
Gene_76,DDIT4,NCF4,GBP2,,PDE7B,,,RNF130,
Gene_77,RPL29,LY6E,BTF3,,GZMM,,,RPS23,
Gene_78,ENPP3,GAB3,RPS13,,PRF1,,,IER2,
Gene_79,BTF3,RNF125,RPS12,,LIME1,,,ANXA5,
Gene_80,RPL37,CYTOR,RPL13A,,CXCR6,,,RPL13A,
Gene_81,RPS16,RPS21,IL9R,,RPL19,,,CD82,
Gene_82,RPL4,TKT,TMEM123,,RACK1,,,MYO1D,
Gene_83,PHLDA1,TNFRSF4,ITM2C,,OGT,,,LEF1,
Gene_84,IER2,RCBTB2,FLOT1,,FLNA,,,PTPRC,
Gene_85,PLAAT3,TPM4,ACTG1,,ZEB2,,,CNIH1,
Gene_86,RPS3,MT-CO3,ANTXR2,,JAML,,,DPP4,
Gene_87,RPL37A,RPS23,GATA3,,NCF4,,,CRIP1,
Gene_88,CISH,ID2,THEMIS,,RPS24,,,NCF4,
Gene_89,RPS13,CCR3,GAS5,,RPL7A,,,RUNX1,
Gene_90,RPL15,CD6,RPS21,,CYSLTR1,,,CD40LG,
Gene_91,EEF2,IL2RA,RPS15A,,ISG20,,,CAPG,
Gene_92,RPL8,KRT1,RPL18,,IL32,,,TOX,
Gene_93,RPL17,RPLP2,GIMAP4,,TIMP1,,,RPS7,
Gene_94,JUNB,S100A11,SH3BGRL3,,SELL,,,CD27,
Gene_95,BTG2,EMP3,RPL12,,ID2,,,RAB6B,
Gene_96,PRF1,MT1F,PABPC1,,MT-CO2,,,MYL6,
Gene_97,LIME1,JAK2,RPL17,,SESN3,,,LGMN,
Gene_98,CCR2,IL4R,HLA-DQA1,,RPL10A,,,LGALS1,
Gene_99,RPL7A,RPS15A,CD59,,RPL32,,,EIF4A1,
Gene_100,TEX14,LINC01871,RPL23A,,LAG3,,,MYO1E,
Gene_101,RPL36A,HMGB1,FTH1,,RPS3,,,SLC25A6,
Gene_102,GZMK,LTB,HLA-C,,S100A6,,,CST7,
Gene_103,ALOX5AP,GAS5,RPL28,,TSHZ2,,,RPL5,
Gene_104,RPL26,CYSLTR1,MAP3K1,,TNFRSF4,,,COL6A2,
Gene_105,NME2,ABTB2,RPL32,,RPS6,,,AHI1,
Gene_106,MZB1,GPR15,CLDND1,,P2RY8,,,IL12RB2,
Gene_107,ID2,TNFRSF11A,FP236383.3,,COTL1,,,GPR171,
Gene_108,RPS14,MYO1E,RPL7,,FRY,,,LINC00271,
Gene_109,FTL,PIM1,SOX4,,RPL3,,,GPR55,
Gene_110,RPS12,LRRC32,EEF1A1,,RPS14,,,PPARG,
Gene_111,AFDN,HOMER2,TOX,,GPR55,,,C12orf75,
Gene_112,EEF1A1,FOXP1,RCAN3,,PLPP1,,,RORA,
Gene_113,IL2RA,FILIP1L,RPL23,,HSD17B10,,,CD52,
Gene_114,HOPX,NRIP3,RPS19,,FXYD5,,,SYNGR2,
Gene_115,HMGA1,GIMAP7,IL6ST,,CORO1B,,,CD3D,
Gene_116,CD59,SASH1,RPL22,,RPS13,,,NAALADL1,
Gene_117,RPL13A,MYL6,LYST,,CST7,,,SOS1,
Gene_118,RPL28,IL32,HLA-A,,PLAAT4,,,PRF1,
Gene_119,BEX3,MAL,EEF1G,,ACTG1,,,ASB2,
Gene_120,C1orf162,IDH2,NDUFA12,,EEF1B2,,,AC017002.3,
Gene_121,SOS1,KLF2,RPS20,,CAMK4,,,TKT,
Gene_122,TIAM1,CD74,VAMP5,,CAPG,,,ZFP36L2,
Gene_123,LSP1,RACK1,HLA-DRB5,,SEMA5A,,,CYBA,
Gene_124,RPL27A,RAB34,FNDC3B,,RPS15A,,,TTC39C,
Gene_125,SLC25A5,TXNIP,TXNIP,,MEAK7,,,TESC,
Gene_126,LDHB,SPOCK2,SELL,,FLOT1,,,PIM1,
Gene_127,RPL24,AC007384.1,LIME1,,GAPDH,,,LINC02694,
Gene_128,TMIGD2,GZMB,SNED1,,RPL10,,,RPS27A,
Gene_129,RPS9,CD9,PPP2R5C,,RESF1,,,JUNB,
Gene_130,RPS20,CXCR4,RPL36A,,RPL8,,,SMCO4,
Gene_131,TRG-AS1,ITGAX,PHLDA1,,CD99,,,MYC,
Gene_132,PDE4B,GZMM,EIF3L,,MMP25,,,ACTB,
Gene_133,RPL23A,RPL13,BHLHE40,,RPL28,,,SERPINB1,
Gene_134,CLDND1,SYNGR2,EEF1B2,,HLA-DRA,,,PDE3B,
Gene_135,IL9R,RPS5,HLA-B,,SNHG29,,,CACNA2D4,
Gene_136,HLA-DPA1,RPL29,FKBP2,,RPL29,,,LGALS3BP,
Gene_137,MT-ND5,HLA-DMA,RPL19,,LINC00271,,,SRM,
Gene_138,CDKN2A,RPL12,NR3C1,,ITM2C,,,RNF125,
Gene_139,PPIA,SNED1,S1PR1,,RPLP1,,,RPS25,
Gene_140,FLOT1,IMMT,ITGB1,,SAMD3,,,ACTN1,
Gene_141,PDE7B,AIF1,RPL34,,RPL4,,,TXNIP,
Gene_142,GLIPR1,NDFIP2,ACTB,,GAS5,,,RPL23A,
Gene_143,RPL3,CXCR6,NPM1,,CTSW,,,RHBDD2,
Gene_144,SRGN,CD5,ANK3,,S100A10,,,RPL18,
Gene_145,ACTG1,TNFSF11,SNHG29,,RPS16,,,AHNAK,
Gene_146,FBL,LINC01138,RIPOR2,,RPS3A,,,AP000787.1,
Gene_147,MYL6,RPL35,PTMS,,ANXA2,,,KLRB1,
Gene_148,SNHG29,GADD45G,LITAF,,TC2N,,,VIM,
Gene_149,RPL35A,EIF1,RPL8,,SLC25A5,,,LINC02341,
Gene_150,NACA,NPDC1,TMEM258,,LAPTM5,,,RNF17,
Gene_151,ATP8B4,AGAP9,RUNX1,,ARAP2,,,LPCAT3,
Gene_152,MGST3,RHOC,LTB,,NELL2,,,FYB1,
Gene_153,RPL18,RPS15,S100A4,,NME2,,,SYTL3,
