Gene,dropout,highly_variable,F_pval,Adj_F_pval
CD79B,0.7893660531697342,0,1.1460974257000152e-12,4.5325037581783216e-08
RPS21,0.0034083162917518746,0,6.470410151278345e-12,5.408284801213271e-08
RPL28,0.0006816632583503749,0,8.165421123137087e-12,6.80643549256881e-08
ENO1,0.1547375596455351,0,7.2182521448125915e-12,7.113535098173049e-08
RPL37A,0.012269938650306749,1,9.992021452601694e-12,8.426749570265873e-08
CD68,0.9488752556237219,0,6.430208140007827e-13,1.0477046772505473e-07
NFKB1,0.6250852079072938,0,5.022666647935271e-12,1.1159552532927326e-07
CKAP4,0.8588957055214724,0,1.904651044317405e-12,1.1243983223755348e-07
IL10RA,0.4676209952283572,0,7.419419240131497e-12,1.1608978137070847e-07
NOSIP,0.4710293115201091,1,8.216037963531704e-12,1.2938258721460493e-07
PKM,0.28152692569870486,1,1.181469281156656e-11,1.3697992957642565e-07
CLSTN3,0.8336741649625086,0,3.4078174481183572e-12,1.7067173801608863e-07
LRRN3,0.6864349011588275,1,7.061149228623944e-12,1.875826528265212e-07
NEK1,0.5146557600545331,0,1.1216581201269669e-11,1.925110338531566e-07
SSR3,0.2794819359236537,0,2.0472649063085475e-11,2.3668687184702124e-07
RAC2,0.025903203817314247,0,2.7877922317933558e-11,2.3839837459524356e-07
AL606807.1,0.8077709611451943,1,6.063547669853957e-12,2.627560975739683e-07
NDFIP2,0.5814587593728698,1,1.3510868022699737e-11,2.6889950070500534e-07
CAPS2,0.9297886843899114,0,2.27988293174247e-12,2.7048951663121814e-07
RPL19,0.0013633265167007499,0,3.289796790132981e-11,2.744141887581703e-07
HCST,0.2937968643490116,1,2.5715782914082884e-11,3.0332982234190484e-07
PHTF2,0.6387184730743013,0,1.3395196216953063e-11,3.088505117787741e-07
TXN,0.06952965235173825,1,3.931021544787262e-11,3.5192319186571624e-07
PYHIN1,0.4867075664621677,0,2.2408466735043694e-11,3.636572754761949e-07
MAPK1,0.7464212678936605,0,1.141269032172405e-11,3.749041159338797e-07
CD9,0.923653715064758,1,3.473527324288542e-12,3.789900534893898e-07
FAR2,0.9304703476482618,0,3.418564389672975e-12,4.095611067047707e-07
LZTFL1,0.6966598500340832,1,1.829898091674542e-11,5.025068757090558e-07
