Gene,dropout,highly_variable,F_pval,Adj_F_pval
KLRC1,0.8945578231292517,1,7.478977398905804e-26,5.850278078172732e-21
XCL1,0.7244897959183674,1,2.104586917030734e-23,6.300540827346706e-19
AHNAK,0.3877551020408163,0,1.565438306517636e-19,2.1089167415190524e-15
RAMP1,0.826530612244898,1,7.338573670103814e-19,3.489293206964467e-14
CD8B,0.06802721088435375,1,2.9887009481186575e-17,2.6450134282862445e-13
ITGB1,0.3843537414965986,1,4.7050108884233675e-17,6.303446057164909e-13
AC069277.1,0.9285714285714286,1,2.220613007662156e-16,2.5641862522076456e-11
COL6A2,0.9047619047619048,0,6.717354808235251e-16,5.817497958124057e-11
CST7,0.09863945578231292,0,2.851776438452164e-14,2.6095497761961937e-10
TESC,0.6904761904761905,1,2.8619663811138154e-14,7.626391891384027e-10
ITM2C,0.8809523809523809,1,1.0663509690673405e-13,7.388020746008636e-09
SP140,0.6054421768707483,0,1.0433025825369324e-11,2.1809628896765497e-07
TOX,0.7278911564625851,1,9.167300697693541e-12,2.7787371836806803e-07
KRT7,0.9455782312925171,1,2.930873193273212e-12,4.441943485529086e-07
ERVMER61-1,0.9285714285714286,1,6.9353512517432054e-12,8.008388797412917e-07
TNFSF10,0.40816326530612246,1,6.723721715487707e-11,9.370364064682026e-07
LAT2,0.8707482993197279,0,3.099412012019307e-11,1.9778424686552e-06
CTSW,0.03741496598639456,1,3.8567275458395937e-10,3.304673111885859e-06
ARL4C,0.17006802721088435,1,8.848725727824767e-10,8.794008689389758e-06
HLA-DPA1,0.6360544217687075,1,4.0942771418283955e-10,9.278749320135869e-06
KLRC2,0.9081632653061225,1,1.2210654359171327e-10,1.0966578623484023e-05
LIME1,0.48299319727891155,1,1.4440335206823558e-09,2.3037198767795344e-05
PCED1B-AS1,0.17687074829931973,1,2.3687595282320112e-09,2.373567522778571e-05
LGALS1,0.1326530612244898,1,4.05599612252721e-09,3.8570328115567456e-05
CD81,0.1360544217687075,0,9.571967567127145e-09,9.138259455565914e-05
LINC01684,0.9489795918367347,0,5.907415769082162e-10,9.549975591624385e-05
LYAR,0.5952380952380952,1,5.157964735639103e-09,0.00010510597128595033
IL9R,0.7755102040816326,1,8.010475892457691e-09,0.00029431362298986915
GPR171,0.6768707482993197,0,2.5563891010862005e-08,0.0006525282745150673
RBPJ,0.5850340136054422,0,4.272640161821764e-08,0.000849243967219962
AOAH,0.2687074829931973,1,7.816019420091606e-08,0.0008815422922796827
HLA-A,0.0,0,1.1379603021755935e-07,0.0009385896572344295
IL32,0.0,0,1.182679308415707e-07,0.0009754738935812752
HOPX,0.11904761904761904,1,1.3365449544080056e-07,0.0012513528565573074
NME2,0.16326530612244897,0,1.9309375693601562e-07,0.0019033958061757217
GAPDH,0.0,1,3.1326221099940286e-07,0.002583786716323075
HSPB1,0.6258503401360545,0,1.405140890397484e-07,0.003097584551650495
FXYD5,0.013605442176870748,0,5.892850744744773e-07,0.004927463615565703
MAP3K8,0.7312925170068028,1,2.2336833558448843e-07,0.006856310852896875
PTPN7,0.40816326530612246,0,5.871973728326927e-07,0.008183344573278567
ATP8B4,0.3843537414965986,1,9.020200820978652e-07,0.012084637134365184
SIRPG,0.5680272108843537,1,8.717086848457621e-07,0.016644227168399264
CHD7,0.891156462585034,0,2.352171238592061e-07,0.01782440082036485
NME1,0.7006802721088435,0,7.505186127694475e-07,0.0206811544355453
CARS,0.6870748299319728,0,1.0688642358185347e-06,0.028172844693556465
MATK,0.8129251700680272,1,6.577316034969658e-07,0.02899893196543699
LINC02694,0.7789115646258503,1,9.135282050230418e-07,0.034080392410751295
