,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_77,RPL29,LY6E,BTF3,GZMM,,RPL7A,
Gene_78,ENPP3,GAB3,RPS13,PRF1,,DPP4,
Gene_79,BTF3,RNF125,RPS12,LIME1,,RPL13A,
Gene_80,RPL37,CYTOR,RPL13A,CXCR6,,MYO1D,
Gene_81,RPS16,RPS21,IL9R,RPL19,,CNIH1,
Gene_82,RPL4,TKT,TMEM123,RACK1,,CAPG,
Gene_83,PHLDA1,TNFRSF4,ITM2C,OGT,,CD40LG,
Gene_84,IER2,RCBTB2,FLOT1,FLNA,,DOCK5,
Gene_85,PLAAT3,TPM4,ACTG1,ZEB2,,RUNX1,
Gene_86,RPS3,MT-CO3,ANTXR2,JAML,,MYL6,
Gene_87,RPL37A,RPS23,GATA3,NCF4,,RAB6B,
Gene_88,CISH,ID2,THEMIS,RPS24,,ANXA5,
Gene_89,RPS13,CCR3,GAS5,RPL7A,,RPS7,
Gene_90,RPL15,CD6,RPS21,CYSLTR1,,EIF4A1,
Gene_91,EEF2,IL2RA,RPS15A,ISG20,,CD27,
Gene_92,RPL8,KRT1,RPL18,IL32,,RPS23,
Gene_93,RPL17,RPLP2,GIMAP4,TIMP1,,AHI1,
Gene_94,JUNB,S100A11,SH3BGRL3,SELL,,LINC00271,
Gene_95,BTG2,EMP3,RPL12,ID2,,COL6A2,
Gene_96,PRF1,MT1F,PABPC1,MT-CO2,,MYO1E,
Gene_97,LIME1,JAK2,RPL17,SESN3,,SLC25A6,
Gene_98,CCR2,IL4R,HLA-DQA1,RPL10A,,LGMN,
Gene_99,RPL7A,RPS15A,CD59,RPL32,,AC108134.3,
Gene_100,TEX14,LINC01871,RPL23A,LAG3,,LGALS1,
Gene_101,RPL36A,HMGB1,FTH1,RPS3,,RPL5,
Gene_102,GZMK,LTB,HLA-C,S100A6,,NCF4,
Gene_103,ALOX5AP,GAS5,RPL28,TSHZ2,,PPARG,
Gene_104,RPL26,CYSLTR1,MAP3K1,TNFRSF4,,RORA,
Gene_105,NME2,ABTB2,RPL32,RPS6,,NAALADL1,
Gene_106,MZB1,GPR15,CLDND1,P2RY8,,ASB2,
Gene_107,ID2,TNFRSF11A,FP236383.3,COTL1,,GPR55,
Gene_108,RPS14,MYO1E,RPL7,FRY,,TKT,
Gene_109,FTL,PIM1,SOX4,RPL3,,AC017002.3,
Gene_110,RPS12,LRRC32,EEF1A1,RPS14,,CD3D,
Gene_111,AFDN,HOMER2,TOX,GPR55,,GPR171,
Gene_112,EEF1A1,FOXP1,RCAN3,PLPP1,,CST7,
Gene_113,IL2RA,FILIP1L,RPL23,HSD17B10,,MYC,
Gene_114,HOPX,NRIP3,RPS19,FXYD5,,SMCO4,
Gene_115,HMGA1,GIMAP7,IL6ST,CORO1B,,ZFP36L2,
Gene_116,CD59,SASH1,RPL22,RPS13,,IL12RB2,
Gene_117,RPL13A,MYL6,LYST,CST7,,IGLON5,
Gene_118,RPL28,IL32,HLA-A,PLAAT4,,TTC39C,
Gene_119,BEX3,MAL,EEF1G,ACTG1,,PRF1,
Gene_120,C1orf162,IDH2,NDUFA12,EEF1B2,,SOS1,
Gene_121,SOS1,KLF2,RPS20,CAMK4,,CYBA,
Gene_122,TIAM1,CD74,VAMP5,CAPG,,CD52,
Gene_123,LSP1,RACK1,HLA-DRB5,SEMA5A,,PDE3B,
Gene_124,RPL27A,RAB34,FNDC3B,RPS15A,,SRM,
Gene_125,SLC25A5,TXNIP,TXNIP,MEAK7,,SYNGR2,
Gene_126,LDHB,SPOCK2,SELL,FLOT1,,SERPINB1,
Gene_127,RPL24,AC007384.1,LIME1,GAPDH,,ACTN1,
Gene_128,TMIGD2,GZMB,SNED1,RPL10,,LINC02694,
Gene_129,RPS9,CD9,PPP2R5C,RESF1,,LGALS3BP,
Gene_130,RPS20,CXCR4,RPL36A,RPL8,,ACTB,
Gene_131,TRG-AS1,ITGAX,PHLDA1,CD99,,PIM1,
Gene_132,PDE4B,GZMM,EIF3L,MMP25,,AP000787.1,
Gene_133,RPL23A,RPL13,BHLHE40,RPL28,,JUNB,
Gene_134,CLDND1,SYNGR2,EEF1B2,HLA-DRA,,TXNIP,
Gene_135,IL9R,RPS5,HLA-B,SNHG29,,CACNA2D4,
Gene_136,HLA-DPA1,RPL29,FKBP2,RPL29,,EVA1B,
Gene_137,MT-ND5,HLA-DMA,RPL19,LINC00271,,RNF125,
Gene_138,CDKN2A,RPL12,NR3C1,ITM2C,,C12orf75,
Gene_139,PPIA,SNED1,S1PR1,RPLP1,,LPCAT3,
Gene_140,FLOT1,IMMT,ITGB1,SAMD3,,CRIP1,
Gene_141,PDE7B,AIF1,RPL34,RPL4,,TESC,
Gene_142,GLIPR1,NDFIP2,ACTB,GAS5,,PLEKHA5,
Gene_143,RPL3,CXCR6,NPM1,CTSW,,RNF17,
Gene_144,SRGN,CD5,ANK3,S100A10,,RPL23A,
Gene_145,ACTG1,TNFSF11,SNHG29,RPS16,,LINC02341,
Gene_146,FBL,LINC01138,RIPOR2,RPS3A,,ETFB,
Gene_147,MYL6,RPL35,PTMS,ANXA2,,RPL10,
Gene_148,SNHG29,GADD45G,LITAF,TC2N,,TNFAIP3,
Gene_149,RPL35A,EIF1,RPL8,SLC25A5,,NME1,
Gene_150,NACA,NPDC1,TMEM258,LAPTM5,,EPAS1,
Gene_151,ATP8B4,AGAP9,RUNX1,ARAP2,,LINC01871,
Gene_152,MGST3,RHOC,LTB,NELL2,,MIF,
Gene_153,RPL18,RPS15,S100A4,NME2,,SORL1,
Gene_154,CAPG,LGALS3BP,IL2RA,MYL6,,GSTM4,
Gene_155,LPAR5,ARHGDIB,ERP29,RPLP2,,AHNAK,
Gene_156,PPA1,RPS14,COL9A2,ASB2,,PTPRK,
Gene_157,PDE4D,RGS10,RPL26,GIMAP4,,PERP,
Gene_158,LGALS9,IL12RB2,ZDHHC14,RPL5,,HLA-C,
Gene_159,AIF1,PPFIBP1,PTPN6,AQP3,,RPS25,
Gene_160,UBC,GBP5,GLIPR2,RPL36A,,RGS10,
Gene_161,ISG15,RPL31,RPS14,RPS27A,,TEX14,
Gene_162,RPS24,B3GNT5,RPS23,IKZF3,,PRKCA,
Gene_163,MXRA8,RPS12,CD52,LTB,,PFDN5,
Gene_164,BST2,RANBP9,STAT1,APP,,RPL18,
Gene_165,CCR4,TNFSF10,MYC,RPL36AL,,TNFSF11,
Gene_166,EIF3L,NMT2,CTSD,ERI1,,SPINT2,
Gene_167,IL12RB2,LINC01684,LINC00649,MAP3K1,,C1QBP,
Gene_168,HCST,TMEM173,MCUB,RPL12,,AL691403.1,
Gene_169,ERP29,MT1E,GPR171,TNFRSF18,,MAGI1,
Gene_170,CD82,DDIT4,SLC25A5,GZMK,,YPEL1,
Gene_171,RPS15A,GSTK1,ASAP1,RPL37A,,CCNI,
Gene_172,C1QBP,GALT,RPL36,EOMES,,NT5DC2,
Gene_173,CD48,PRKCB,RPL7A,MAP3K5,,LBH,
Gene_174,DOCK8,CAMK4,NACA,MT-ND1,,HSP90AB1,
Gene_175,RPL22,FCER1G,PFN1,HLA-A,,RSL1D1,
Gene_176,RPL31,SERPINB9,RPS25,CCDC50,,GABARAP,
Gene_177,B2M,GLB1,RPS9,SOS1,,HLA-DRA,
Gene_178,TSPYL2,SEPTIN11,ITGB7,PLAAT3,,RHOC,
Gene_179,FOS,CD99,VIM,ITGA4,,MXRA8,
Gene_180,CD3G,PLAAT3,PVT1,RUNX1,,TSHZ2,
Gene_181,RPL35,PARVG,RPL11,RPS21,,RASAL3,
Gene_182,RPL12,RPL39,PLSCR1,GSTP1,,RHBDD2,
Gene_183,ZFAS1,RPS24,RPL14,MIR4435-2HG,,ATP5MC2,
Gene_184,RPL21,OR3A2,FAAH2,RPL6,,CD79B,
Gene_185,RPS15,RBPJ,GSTK1,S100A4,,OSTC,
Gene_186,RPL27,AL138828.1,SAMSN1,EEF1G,,LAPTM5,
Gene_187,ATP5PB,RPL6,EIF3E,AL138828.1,,EXOSC5,
Gene_188,CST7,SNTB1,CYSLTR1,CD3G,,PPM1L,
Gene_189,FP236383.3,FAM120A,TDRD12,C1QBP,,ENO1,
Gene_190,GPR15,ZFPM1,RPL39,CD59,,IRX3,
Gene_191,S100A10,RAB27B,PLAC8,EMP3,,CISH,
Gene_192,RPS6KA5,HAVCR2,ISG15,DPP4,,CSGALNACT1,
Gene_193,RPLP2,MT-CYB,MIR4435-2HG,NUCB2,,CLSTN3,
