,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_379,,,MYADM,SLC37A3,,SMARCA2,
Gene_380,,,TMEM116,UCP2,,Z93241.1,
Gene_381,,,MFSD10,MGST3,,BEX3,
Gene_382,,,MCTP2,TNIK,,IL9R,
Gene_383,,,GSTP1,IDI1,,TSPYL2,
Gene_384,,,RPL9,YPEL3,,CKB,
Gene_385,,,RPS28,CDC14B,,PPP1CA,
Gene_386,,,GPRIN3,CD200R1,,PTGDR2,
Gene_387,,,,PHTF2,,ENTPD1,
Gene_388,,,,PPDPF,,UBE2F,
Gene_389,,,,TSPAN18,,RPL21,
Gene_390,,,,LINC01934,,PSMB9,
Gene_391,,,,EIF3F,,IMPDH2,
Gene_392,,,,EVL,,CD70,
Gene_393,,,,SRGN,,OFD1,
Gene_394,,,,MYL12A,,SCPEP1,
Gene_395,,,,SNHG32,,NFKBIZ,
Gene_396,,,,ZFAS1,,ATP6V0E1,
Gene_397,,,,TSPAN32,,NDUFAF3,
Gene_398,,,,DISC1,,ACTG1,
Gene_399,,,,HMGB2,,HNRNPA1,
Gene_400,,,,TRG-AS1,,COX5B,
Gene_401,,,,TSPO,,RPS6KA5,
Gene_402,,,,BTF3,,GATA3,
Gene_403,,,,VAMP5,,CDK2AP2,
Gene_404,,,,SPTBN1,,PSTPIP2,
Gene_405,,,,AC139720.1,,TMEM219,
Gene_406,,,,PTMS,,BLOC1S1,
Gene_407,,,,AC017002.3,,ZNF626,
Gene_408,,,,NOP53,,FHL3,
Gene_409,,,,DOCK8,,TNFSF14,
Gene_410,,,,SPINK2,,PPIB,
Gene_411,,,,JUNB,,SLC25A5,
Gene_412,,,,TMEM258,,SNHG6,
Gene_413,,,,S1PR1,,TMEM156,
Gene_414,,,,RPL23,,RGCC,
Gene_415,,,,APRT,,AC004448.2,
Gene_416,,,,FBL,,RPL39,
Gene_417,,,,HIPK2,,CTSB,
Gene_418,,,,CNN2,,ABI3,
Gene_419,,,,PTP4A3,,RESF1,
Gene_420,,,,SEPTIN11,,XYLT1,
Gene_421,,,,C5orf56,,MYADM,
Gene_422,,,,CD2,,PIN4,
Gene_423,,,,RPL27A,,MYEF2,
Gene_424,,,,SOCS1,,CASTOR1,
Gene_425,,,,FAM3C,,MANF,
Gene_426,,,,PLIN2,,HSP90B1,
Gene_427,,,,SPATC1L,,RCSD1,
Gene_428,,,,ZNF433-AS1,,DISC1,
Gene_429,,,,FP236383.3,,SSR4,
Gene_430,,,,LPAR5,,SCML4,
Gene_431,,,,ERN1,,COX10-AS1,
Gene_432,,,,IL10RA,,SERP1,
Gene_433,,,,PATJ,,TMEM140,
Gene_434,,,,CDK2AP1,,MX1,
Gene_435,,,,METTL8,,AC022706.1,
Gene_436,,,,RPL36,,C22orf34,
Gene_437,,,,KLF2,,ARHGEF12,
Gene_438,,,,MAML2,,VCL,
Gene_439,,,,PTMA,,MIR181A1HG,
Gene_440,,,,NME1,,P4HA2,
Gene_441,,,,RBM47,,PTMA,
Gene_442,,,,MYO1F,,RFTN1,
Gene_443,,,,SCPEP1,,TPRG1,
Gene_444,,,,TGFBR3,,CAMK1,
Gene_445,,,,JUND,,RHOG,
Gene_446,,,,MED23,,EIF3K,
Gene_447,,,,MBOAT7,,GTDC1,
Gene_448,,,,CD300A,,RPL26,
Gene_449,,,,HLA-C,,SERPINB6,
Gene_450,,,,CCL4,,GIMAP4,
Gene_451,,,,H3F3B,,CORO1A,
Gene_452,,,,TEX30,,WIPF1,
Gene_453,,,,ZNF814,,CLDN5,
Gene_454,,,,HLA-DQB1,,ICAM4,
Gene_455,,,,SMAD5,,EFHD2,
Gene_456,,,,AKAP7,,ADD3,
Gene_457,,,,FHIT,,RPN2,
Gene_458,,,,CLSTN3,,ZNF714,
Gene_459,,,,RDH10,,MXD4,
Gene_460,,,,TMEM173,,UBE2D3,
Gene_461,,,,CYTOR,,MICOS13,
Gene_462,,,,PTPRC,,CD28,
Gene_463,,,,TYMP,,LMBRD1,
Gene_464,,,,MT-ATP6,,CDCA7,
Gene_465,,,,JAK1,,ALOX5AP,
Gene_466,,,,AF165147.1,,NUP98,
Gene_467,,,,LIMA1,,S100A10,
Gene_468,,,,MT1E,,CSF2,
Gene_469,,,,ZBP1,,NEAT1,
Gene_470,,,,TESC,,PARP1,
Gene_471,,,,HOTAIRM1,,MT2A,
Gene_472,,,,IGFLR1,,ETNK1,
Gene_473,,,,EIF1AX,,HNRNPUL1,
Gene_474,,,,CCND3,,COMMD6,
Gene_475,,,,CD63,,APRT,
Gene_476,,,,P2RX4,,UXS1,
Gene_477,,,,SELENOH,,SRPRA,
Gene_478,,,,DUSP1,,CITED2,
Gene_479,,,,SERPINB6,,Z93930.2,
Gene_480,,,,SLC27A5,,,
Gene_481,,,,SAT1,,,
Gene_482,,,,ALOX5AP,,,
Gene_483,,,,OFD1,,,
Gene_484,,,,EIF4A1,,,
Gene_485,,,,GIMAP7,,,
Gene_486,,,,WHAMM,,,
Gene_487,,,,PTPN6,,,
Gene_488,,,,ISCU,,,
Gene_489,,,,PPA1,,,
Gene_490,,,,EIF5A,,,
Gene_491,,,,RNF138,,,
Gene_492,,,,AC137810.1,,,
Gene_493,,,,APOO,,,
Gene_494,,,,HOXB2,,,
Gene_495,,,,GLIPR1,,,
Gene_496,,,,CAST,,,
Gene_497,,,,HSPB1,,,
Gene_498,,,,SELENOK,,,
Gene_499,,,,GPX7,,,
Gene_500,,,,BTG1,,,
Gene_501,,,,IMPDH2,,,
Gene_502,,,,ACTN4,,,
Gene_503,,,,EIF3E,,,
Gene_504,,,,RASGRF2,,,
Gene_505,,,,ZFP36,,,
Gene_506,,,,SAMSN1,,,
Gene_507,,,,TGFBR3L,,,
Gene_508,,,,NACA,,,
Gene_509,,,,CLIC3,,,
Gene_510,,,,KPNA6,,,
Gene_511,,,,KIAA0825,,,
Gene_512,,,,BATF,,,
Gene_513,,,,CREM,,,
Gene_514,,,,TMBIM6,,,
Gene_515,,,,CKAP4,,,
Gene_516,,,,DSTN,,,
Gene_517,,,,PSMB8,,,
Gene_518,,,,,,,
Gene_519,,,,,,,
Gene_520,,,,,,,
Gene_521,,,,,,,
Gene_522,,,,,,,
Gene_523,,,,,,,
Gene_524,,,,,,,
Gene_525,,,,,,,
Gene_526,,,,,,,
Gene_527,,,,,,,
Gene_528,,,,,,,
Gene_529,,,,,,,
Gene_530,,,,,,,
Gene_531,,,,,,,
Gene_532,,,,,,,
Gene_533,,,,,,,
Gene_534,,,,,,,
Gene_535,,,,,,,
Gene_536,,,,,,,
Gene_537,,,,,,,
Gene_538,,,,,,,
Gene_539,,,,,,,
Gene_540,,,,,,,
Gene_541,,,,,,,
Gene_542,,,,,,,
Gene_543,,,,,,,
Gene_544,,,,,,,
Gene_545,,,,,,,
Gene_546,,,,,,,
Gene_547,,,,,,,
Gene_548,,,,,,,
Gene_549,,,,,,,
Gene_550,,,,,,,
Gene_551,,,,,,,
Gene_552,,,,,,,
Gene_553,,,,,,,
Gene_554,,,,,,,
Gene_555,,,,,,,
Gene_556,,,,,,,
Gene_557,,,,,,,
Gene_558,,,,,,,
Gene_559,,,,,,,
Gene_560,,,,,,,
Gene_561,,,,,,,
Gene_562,,,,,,,
Gene_563,,,,,,,
Gene_564,,,,,,,
Gene_565,,,,,,,
Gene_566,,,,,,,
Gene_567,,,,,,,
Gene_568,,,,,,,
Gene_569,,,,,,,
Gene_570,,,,,,,
Gene_571,,,,,,,
Gene_572,,,,,,,
Gene_573,,,,,,,
Gene_574,,,,,,,
Gene_575,,,,,,,
Gene_576,,,,,,,
Gene_577,,,,,,,
Gene_578,,,,,,,
Gene_579,,,,,,,
Gene_580,,,,,,,
Gene_581,,,,,,,
Gene_582,,,,,,,
Gene_583,,,,,,,
Gene_584,,,,,,,
Gene_585,,,,,,,
Gene_586,,,,,,,
Gene_587,,,,,,,
Gene_588,,,,,,,
Gene_589,,,,,,,
Gene_590,,,,,,,
Gene_591,,,,,,,
Gene_592,,,,,,,
Gene_593,,,,,,,
Gene_594,,,,,,,
Gene_595,,,,,,,
Gene_596,,,,,,,
Gene_597,,,,,,,
Gene_598,,,,,,,
Gene_599,,,,,,,
