Gene,dropout,highly_variable,F_pval,Adj_F_pval
NOSIP,0.19091507570770244,1,6.670895101274055e-133,6.431090263540706e-129
IL7R,0.09282422646477946,1,3.609748641336368e-102,3.103702746899968e-98
SP140,0.5990783410138248,1,5.126839942185848e-95,9.974355501314672e-91
LEF1,0.45951283739302173,1,2.979092169157785e-91,4.299254547943394e-87
CXCR6,0.8492429229756419,1,8.76305188684426e-84,4.533903553087692e-79
CD5,0.3548387096774194,1,2.824560073290237e-82,3.4148931286078963e-78
AQP3,0.532587228439763,1,1.7360157657598178e-75,2.8969946473064047e-71
CD7,0.4305464121132324,1,6.7171443075304275e-68,9.20070163982451e-64
RPL18A,0.0006583278472679394,1,5.494576620163985e-64,4.288593063967518e-60
BST2,0.49637919684002635,1,8.47758324452153e-64,1.3129947947416994e-59
GSTM2,0.9295589203423305,1,1.5202926130768398e-61,1.6834327979679445e-56
CRIP1,0.1652402896642528,1,3.419298932365139e-58,3.194995079688379e-54
RPS7,0.0019749835418038184,0,5.220365078616608e-51,4.0799425807694787e-47
RPL5,0.009874917709019092,0,4.432859192972622e-50,3.4921145139746156e-46
HLA-DRB1,0.56550362080316,1,1.838849366343848e-49,3.301068948835633e-45
IFITM2,0.07044107965766952,1,7.42014937090791e-48,6.226304091812401e-44
RPLP0,0.0019749835418038184,1,3.0253279217491446e-47,2.3644254803738926e-43
HLA-DPA1,0.6254114549045424,1,2.279120167296042e-47,4.745777076653244e-43
CD6,0.4305464121132324,1,1.3395646329530677e-45,1.8348473623300043e-41
TSHZ2,0.7676102699144174,1,1.1415618731804707e-45,3.8315731971152557e-41
RPS16,0.0019749835418038184,0,7.418394256971515e-44,5.797798076217011e-40
CD247,0.30480579328505597,0,7.514069427797609e-44,8.430700510836329e-40
LINC02315,0.7946017116524029,1,1.9338170974266184e-43,7.343670427477583e-39
B2M,0.0,0,3.7585529023666965e-42,2.931671263846023e-38
RPL13,0.0006583278472679394,1,3.990753422359741e-42,3.1148382542030755e-38
HAVCR2,0.8676761026991442,1,1.601333994471168e-41,9.439266384723032e-37
IL32,0.0013166556945358788,1,2.2667157870427194e-40,1.7703692806881703e-36
SESN3,0.6201448321263989,1,3.874248300584395e-40,7.955436519061357e-36
RPL15,0.005924950625411455,0,1.2416325555843822e-38,9.74245751329462e-35
RPL6,0.0032916392363396972,0,5.027170515848556e-38,3.93414278110151e-34
RPL4,0.030283080974325215,0,3.0848085712801623e-37,2.481291847538467e-33
IFITM1,0.10599078341013825,1,9.403047067551956e-37,8.203916219865176e-33
BEX3,0.6556945358788677,1,5.8023974921151335e-37,1.3144926570951918e-32
RPS6,0.0013166556945358788,1,2.3031490214210595e-36,1.798824669452933e-32
COTL1,0.23107307439104674,1,3.4891059244008086e-36,3.539351439510759e-32
GBP5,0.6721527320605661,1,5.255853455678785e-36,1.2504498577022765e-31
GZMA,0.5997366688610928,1,1.454548708229777e-34,2.8345039481657963e-30
RPS5,0.0019749835418038184,0,3.9752037349426185e-34,3.1067947818170933e-30
RPLP1,0.0006583278472679394,0,2.6801722991164786e-33,2.0919115569428104e-29
ADGRE1,0.8294930875576036,0,1.8729925862812977e-33,8.568181760918173e-29
C5orf17,0.8301514154048716,1,2.667818420585558e-33,1.2251490779372792e-28
CCL5,0.17774851876234365,1,1.986417490862889e-32,1.8843452133900464e-28
PTPRCAP,0.013166556945358789,0,5.217887221654114e-32,4.124254261481139e-28
HLA-DQB1,0.7109940750493746,1,2.381678809976386e-32,6.427928673431029e-28
RPS2,0.0019749835418038184,1,4.786973372701807e-31,3.741228094620419e-27
HOXB2,0.9394338380513496,0,3.45103014563428e-32,4.4444016708156635e-27
RPS4X,0.0013166556945358788,0,1.0453848157530927e-30,8.164751729733549e-27
PDE7B,0.3897300855826201,1,6.822783313211677e-31,8.720356122070612e-27
RPSA,0.0032916392363396972,0,1.3780510851939913e-30,1.0784296477936228e-26
EEF2,0.02369980250164582,0,1.3812620060286063e-30,1.1035379972911756e-26
RPS8,0.0013166556945358788,1,2.7209827728391186e-30,2.125164672983022e-26
RPL29,0.0006583278472679394,0,1.3621465006883416e-29,1.0631741877111732e-25
LINC01943,0.9269256089532587,1,1.8720123111356266e-30,1.998196059891633e-25
RPS17,0.18104015799868334,0,3.5137964726702806e-29,3.3466369266472685e-25
HLA-DPB1,0.7261356155365372,1,2.4963968976847957e-29,7.110050414218507e-25
ZP3,0.8005266622778143,0,6.41293750738817e-29,2.507649048681073e-24
TCF7,0.6431863067807768,1,1.421043758679027e-28,3.106422631287979e-24
RPL10A,0.01053324555628703,0,3.964886931889264e-28,3.1255338221164587e-24
RPL37A,0.009216589861751152,0,5.382658686043284e-28,4.237529345114819e-24
ITM2A,0.40421329822251484,1,1.0056434283980414e-27,1.3165817092094667e-23
PRF1,0.6484529295589203,1,1.293241319104443e-27,2.8693973402646554e-23
MAL,0.7722185648452929,1,8.540144979147515e-28,2.92443195785941e-23
CCL4,0.8689927583936801,1,1.3155150787722984e-27,7.832404902668315e-23
RPL37,0.0,0,1.1840095439244956e-26,9.235274442611065e-23
TPT1,0.0013166556945358788,0,1.4874745327635662e-26,1.1617597731766173e-22
RACK1,0.0006583278472679394,0,2.8698999414705736e-26,2.239996606490886e-22
PDE4D,0.631336405529954,0,1.3112623857592372e-26,2.7743033926701065e-22
RPS3A,0.0,0,4.178296434091874e-26,3.259071218591662e-22
SLC25A6,0.04542462146148782,0,9.949478002394837e-26,8.129890018481e-22
RPS18,0.0006583278472679394,1,1.940949595459413e-25,1.5149380103374319e-21
MALAT1,0.0,0,2.448067431054243e-25,1.90949259622231e-21
NFKBIA,0.35220539828834757,1,2.644394986808347e-25,3.1840773051527087e-21
LAG3,0.8446346280447663,1,9.502466761775937e-26,4.770640961308206e-21
GBP4,0.7030941408821593,0,5.043552983348174e-25,1.3249894558160936e-20
HLA-DRA,0.7017774851876234,1,5.1771837147164135e-25,1.3540906862848345e-20
GBP2,0.5055957867017775,0,1.4542519770044644e-24,2.2943100231616904e-20
BTF3,0.013824884792626729,0,4.128905960416935e-24,3.265694499346591e-20
RPS13,0.0013166556945358788,0,1.1142065944640719e-23,8.702269329287552e-20
RPS12,0.0013166556945358788,0,6.476246365448148e-23,5.05813198332912e-19
RPL13A,0.0,0,9.586501997393938e-23,7.477471557967272e-19
IL9R,0.8097432521395656,1,1.9025259846750476e-23,7.799829886376091e-19
TMEM123,0.2521395655036208,0,8.942564642217852e-23,9.32687450650753e-19
ITM2C,0.8064516129032258,1,2.650968752859111e-23,1.0683404074022214e-18
FLOT1,0.7195523370638578,1,5.33777202483641e-23,1.4845772418935857e-18
ACTG1,0.004608294930875576,1,2.785009660546307e-22,2.1823645145558696e-18
ANTXR2,0.8933508887425938,0,3.303744439765851e-23,2.4162607945206027e-18
GATA3,0.48518762343647137,0,5.556080250860322e-22,8.418101026629574e-18
THEMIS,0.8202764976958525,1,6.617329780201609e-22,2.871921124607499e-17
GAS5,0.21263989466754443,0,7.272953820878611e-21,7.204967513422571e-17
RPS21,0.0026333113890717576,0,1.7086519701878734e-20,1.3362673447643537e-16
RPS15A,0.0013166556945358788,0,2.37099570004481e-20,1.851814848600588e-16
RPL18,0.0006583278472679394,0,2.955646408934774e-20,2.3069229105626477e-16
GIMAP4,0.3969716919025675,1,1.817547579254893e-20,2.3509462039877535e-16
SH3BGRL3,0.0026333113890717576,0,5.112272272727518e-20,3.998100616615853e-16
RPL12,0.0026333113890717576,0,6.765933772830218e-20,5.291362147013003e-16
PABPC1,0.1184990125082291,0,1.1197902499116806e-19,9.908512949218502e-16
RPL17,0.0006583278472679394,0,1.289217298058079e-19,1.0062519361562407e-15
HLA-DQA1,0.8815009874917709,1,1.5692377189727278e-20,1.032924574551815e-15
CD59,0.7346938775510204,1,4.231271011258327e-20,1.2439936773099483e-15
RPL23A,0.003949967083607637,0,2.5426509632913274e-19,1.9911326598326704e-15
FTH1,0.0032916392363396972,1,2.785213843076593e-19,2.179641390722595e-15
HLA-C,0.004608294930875576,0,3.3866914705474947e-19,2.6538490662262453e-15
RPL28,0.0013166556945358788,0,3.424135942812438e-19,2.67434722990312e-15
MAP3K1,0.6385780118499013,0,1.4404181101041235e-19,3.1086269311722544e-15
RPL32,0.0019749835418038184,0,4.175716004424266e-19,3.2635038498429804e-15
CLDND1,0.4976958525345622,1,2.9421356907236716e-19,4.568677862494392e-15
