Gene,adj_F_pval_well
RPS12,0.0
RPL32,0.0
LINC00892,0.0
TYMS,0.0
PIM1,0.0
RPS14,0.0
IFI44L,0.0
DUSP4,0.0
MX1,0.0
RPS24,0.0
PCLAF,0.0
RPS28,0.0
NACA,0.0
H2AFV,0.0
RPS15,0.0
SRGN,0.0
RPS18,0.0
IL4R,0.0
TUBA1B,0.0
RPL35A,0.0
RPS3,0.0
LTB,0.0
CD74,0.0
CENPF,0.0
MYL12A,0.0
RPL5,0.0
BCL2,0.0
GINS2,0.0
TMSB10,0.0
CCND2,0.0
RPS26,0.0
RPS13,0.0
RPL26,0.0
GIMAP4,0.0
EEF1A1,0.0
GIMAP7,0.0
RPL17,0.0
RPLP1,0.0
GAPDH,0.0
HMGB2,0.0
ACTB,0.0
CD99,0.0
MYL6,0.0
TMSB4X,0.0
CENPU,0.0
IFITM1,0.0
RPL30,0.0
TNFSF10,0.0
HMGB3,0.0
FAU,0.0
ARHGDIB,0.0
HLA-B,0.0
RPL37,0.0
RPS27A,0.0
CFL1,0.0
TK1,0.0
ASF1B,0.0
BIRC5,0.0
PPDPF,0.0
PTMA,0.0
RPS23,0.0
STMN1,0.0
FTL,0.0
CLSPN,0.0
CORO1A,0.0
HMGN2,0.0
RPS2,0.0
FTH1,0.0
HMGB1,0.0
RPL19,0.0
IFI6,0.0
RPL36,0.0
ZWINT,0.0
GZMA,0.0
CD52,0.0
RPL14,0.0
FEN1,0.0
MCM7,0.0
HLA-C,0.0
FOS,0.0
SNRNP25,0.0
RPS7,0.0
TUBB,0.0
MCM2,0.0
IL7R,0.0
RPS8,0.0
RPL18A,0.0
RACK1,0.0
RPS4X,0.0
MT1E,0.0
CST7,0.0
RRM2,0.0
MALAT1,0.0
SAMSN1,0.0
RPL9,0.0
RPL18,0.0
HLA-A,0.0
ARPC1B,0.0
RPL39,0.0
RPL11,0.0
MT2A,0.0
MKI67,0.0
LRRN3,0.0
SOCS1,0.0
MCM5,0.0
RPL29,0.0
CISH,0.0
LEF1,0.0
RPL10,0.0
IL2RA,0.0
B2M,0.0
RPS3A,0.0
PFN1,0.0
GAS5,0.0
RPL13,0.0
MT-CO3,0.0
LGALS1,0.0
PCNA,0.0
RPS25,0.0
LY6E,0.0
MT-CO1,0.0
RPL6,0.0
RPS15A,0.0
RPS27,0.0
RPL3,0.0
VIM,0.0
OSM,0.0
PLAAT4,0.0
CENPW,0.0
CTSH,0.0
CDT1,0.0
RPL34,0.0
TPT1,0.0
RPL24,5.3411e-319
KIFC1,1.281863e-318
UHRF1,1.5745553e-316
RPL28,1.33704741e-314
ISG15,7.2864308915e-314
MYBL2,3.06573141940051e-309
RPL7A,2.5406897681771263e-308
RPS19,3.9645086694985084e-308
DBI,3.6972785208403534e-306
SNHG29,5.931304222032809e-306
LINC02315,2.649594600438094e-305
APOBEC3B,1.0410345319678846e-304
RPS6,7.656098054712251e-304
RPLP0,8.552039355887044e-304
CD40LG,4.291787591938662e-303
NUDT1,4.3089458338482853e-303
RPL8,7.159452125459165e-303
RAB34,2.33265835311035e-301
MAL,2.9365918453616845e-301
TESC,6.850540270614509e-301
PKMYT1,2.460410778610993e-295
NFKBIA,1.5458928691804693e-294
CAPG,5.964785639816919e-294
ACTG1,1.677592223169361e-293
S100A4,3.535160548258969e-292
XAF1,3.3619898054264936e-291
ANXA2,9.241598805240422e-291
TPM4,5.0146408508193864e-290
RPL23A,5.245633854122151e-288
FAM111B,1.5148468181967283e-286
CD70,4.018241689915593e-285
PTTG1,1.6834589109366068e-283
NUSAP1,6.951659223767357e-283
PHLDA1,2.2576225152835747e-281
UBE2C,3.076173276044897e-281
LMNB1,9.580905795339981e-281
CALM1,2.4829227562798845e-280
TOP2A,5.879827350530351e-280
HNRNPA2B1,3.662134577215556e-279
H2AFY,2.355844112139253e-278
NCF4,2.091312997557431e-277
MCM4,2.6335268565683784e-277
CCNA2,1.7753152425590626e-276
RPL12,2.0359930236265662e-276
EEF1B2,2.8143892970815347e-276
OAS1,5.984452294225008e-275
LTA,2.583627347256139e-274
CCNB2,1.0794683810139338e-273
GTSE1,3.2314997895524714e-273
CKAP2L,3.6475938672089783e-273
TXN,5.034610941186455e-272
S100A11,1.4057170341284338e-271
RAD51,5.594337072445743e-271
RPL36A,6.355069923984489e-269
EGLN3,4.1241927377357553e-268
CENPM,4.129020160925791e-268
TPX2,1.208638225948627e-267
HOPX,3.4231669497119514e-263
GSTP1,3.7311397158248404e-263
MDK,5.0009188482407146e-263
ZFAS1,2.0275638600411076e-262
SLC1A4,1.4458046192238548e-260
RPS5,1.3924091531459738e-259
NKG7,2.675494813900323e-259
CREM,4.815983809879094e-259
UBE2T,1.3295241035470873e-258
CNN2,4.281353059948179e-258
MT-CO2,4.355666656672855e-258
CD7,2.5220178458769027e-257
DTL,4.472682972383578e-257
RPL13A,4.705177618771065e-257
GGH,7.458552550121192e-257
PYHIN1,1.4086336751935672e-256
RAN,1.0345201486008487e-255
CD38,5.045847278255769e-255
ARPC5L,7.839134514861288e-255
CCL5,9.167515213649232e-255
CD69,1.4559766326958892e-252
EPSTI1,1.517664672100341e-251
RPS16,2.843137027720258e-250
RGS16,7.394942550804803e-250
S100A6,3.040068172208903e-249
PKM,6.210146869821509e-249
KNL1,6.675765382638797e-249
DNAJC9,4.96356115747305e-248
H2AFZ,2.0239872168175025e-246
ARPC2,2.5003334177134374e-246
ERN1,1.113858923667796e-245
AQP3,1.371836280260444e-245
TPM3,2.7591257706578656e-244
TOX,5.592430211511291e-244
ARPC5,6.104102117072416e-244
ASPM,1.8708910201077952e-243
BHLHE40,1.8727780176108052e-243
CDK1,4.954399424350071e-243
XCL1,3.743400291508645e-242
BCL2L11,4.315279863023428e-242
ARG2,4.197041517746934e-241
RPLP2,4.900938243880585e-241
RPL7,5.576675737375227e-241
DUT,6.54433073273056e-241
SMC2,4.813735722379563e-239
CXCR4,1.4733666677438795e-237
MCM3,2.2430345162360091e-237
ACTR3,2.5532217327947605e-237
KRT7,2.7044099038146795e-237
RRM1,7.521183460939153e-237
DHFR,4.758486022565436e-235
EEF2,1.7726460059267244e-234
CDKN1A,1.9195421175181805e-234
MT-CYB,3.9834846517303225e-234
DIAPH3,1.7272722107570514e-233
CDC45,5.3015657766569405e-233
MT-ND3,5.4500582464311645e-233
RPS21,5.7943055172177815e-233
KLF2,1.3369148250604823e-232
EVI2B,1.1131394414308339e-231
PSMA7,1.359280621701053e-231
PTGER2,1.441977653102013e-231
NOSIP,1.7851774898533078e-231
EEF1G,3.3978409847877954e-231
CALM3,1.408495925490604e-230
ORC6,5.613069770764041e-230
HDGFL3,4.466435800194218e-229
SPC25,5.9213837309596e-229
CARHSP1,6.053906787279034e-228
GNLY,6.085223830229964e-228
PPIA,2.01224344362077e-227
CDC6,1.7065167666969514e-226
CHCHD2,1.681822187392303e-225
GBP5,2.6879051351685945e-225
NQO1,2.795191090814961e-225
LIF,3.728993224758989e-225
PSMB9,7.366749486848946e-225
SEPTIN6,1.1302031216257704e-224
SERP1,1.5921384038443213e-224
ALYREF,5.971086325879926e-224
SGO1,1.2173714543447663e-223
KIF4A,1.2700782406764797e-223
KIF2C,1.6767524450470497e-223
LGALS3BP,3.0462332096869694e-223
DDX39A,1.2839181350199072e-222
PDE7B,1.6799306076453774e-222
DNMT1,2.8769209657658636e-222
BRCA1,3.153066277556385e-222
SAMD3,8.971627954763171e-222
PLSCR1,1.2771002556429357e-221
PPP1CA,6.146530608104948e-221
NASP,7.120948515098816e-221
PTPRCAP,1.2203452902361258e-218
PHF19,1.5078430645928683e-218
IL2RG,2.9063997781907894e-218
PSME2,2.947978492965224e-218
CHEK1,5.715543826447267e-218
PCED1B-AS1,8.814560089531715e-218
ENO1,1.9947859361481957e-217
MT-ND4,7.157040134336874e-216
