Gene,adj_F_pval_well
SPINT2,3.9118473537592005e-215
CDCA8,4.97632962823015e-215
SNED1,7.388782557212363e-215
MAD2L1,4.6161244373731355e-214
KIF15,8.064139314512436e-213
NCAPG,1.424118482068501e-212
ISG20,2.8682881856362615e-212
HLA-E,4.665826842795007e-212
BST2,9.044701127681856e-212
LZTFL1,1.6642271941056695e-209
COX8A,2.3602976643157694e-209
IFITM2,4.6806336728183113e-209
STAT1,6.889605987049565e-209
C5orf17,7.877402161894554e-209
PRDX1,1.0426954884538784e-208
HSPB1,1.176981464694289e-208
ATAD2,1.5377849062941164e-208
LDHA,1.1180021132806766e-207
ZFP36L2,2.563820040635524e-206
HNRNPA3,7.207429397593151e-206
SNRPG,7.364157769100391e-206
TCF19,9.293563594657104e-206
CDKN3,9.209457812146447e-204
RAD51AP1,2.3749221068790344e-203
COTL1,2.8864000509696284e-202
RPL10A,4.2601341039753616e-201
MT-ND4L,5.338094664560284e-201
TMPO,7.318843506087167e-201
HNRNPAB,7.861016901322466e-201
RDH10,4.0767779110974435e-200
UBALD2,7.924913637067006e-200
SMC4,7.180296696770397e-199
AURKB,1.0354808869065344e-198
KRT1,4.294971177397198e-198
AOAH,8.307937376642671e-198
NCAPG2,1.1682573805651275e-197
GAB2,6.062218654598583e-197
CDC20,7.844894155956042e-197
SH3BGRL3,9.93543832596578e-197
JPT1,1.1051765057087696e-196
TAP1,1.358292939357426e-196
GZMM,6.448423161217704e-196
LSP1,1.4258839451404324e-195
CEP55,3.353007125585108e-195
TIMELESS,4.572221924748669e-195
HLA-F,7.402725857277164e-195
PSMB3,1.9462478066408543e-194
HIST1H4C,3.2391838815076605e-194
H3F3B,6.910085282776779e-194
CD37,9.48579284300804e-194
NELL2,1.9532676458655775e-193
SNX10,2.2343416769858516e-192
RPS29,8.833490079244043e-192
GMNN,1.3323008204392851e-191
ANP32E,3.4257122265584463e-191
LMO4,1.0572740465642744e-190
CXCR6,5.562573161070909e-190
CCDC50,6.306122330712268e-190
RANBP1,1.181849899791587e-189
TALDO1,3.170142439067206e-189
BEX3,3.962491668261452e-189
CDCA5,4.4235729152148945e-189
DEK,1.2760546876571335e-188
TEX14,3.2639425578184655e-188
RPL15,2.6917822651245805e-187
LGALS9,3.844249753866895e-187
ZP3,9.017087773817188e-187
RPA3,1.960229979956704e-186
WDR1,1.3020231932533309e-185
RMI2,1.4156140837430498e-185
CDCA3,1.6830165509995533e-185
DLGAP5,4.963585574017383e-185
GATA3,1.5621069410995913e-184
LIME1,1.900162999331958e-184
SHCBP1,2.705478711989248e-184
TSPYL2,4.3093601583822193e-184
NDUFA6,7.462677558428328e-184
SLC25A5,9.336513563087361e-184
ESCO2,1.3166982317811397e-183
TOMM7,2.5467646553142175e-183
PRELID1,2.799814491015332e-183
RAB11FIP1,9.283439546473193e-183
DTYMK,4.333933933914477e-182
KLF6,2.3961273380012623e-181
FANCI,4.456201546046902e-181
RPL36AL,3.298421501119529e-179
PPP1R18,7.740785610738545e-178
ENPP3,8.755513977470849e-178
EPAS1,2.0605727811229933e-177
ALOX5AP,3.294604680769188e-177
LAIR2,3.326864389223678e-177
MBOAT7,4.579814633041036e-177
SMC1A,8.786624288423663e-177
CKS1B,1.5692126720572192e-176
KIF11,9.433445629920739e-176
C17orf49,2.7354790540990487e-175
TMEM106C,5.075519975964457e-175
PLPP1,7.34839282433778e-175
MCUB,1.647616386627159e-173
CDCA2,2.1279914743657916e-173
ANK3,9.504967796070864e-173
BLOC1S1,1.4153073871085017e-172
ATP8B4,2.198453130640232e-172
SNHG7,9.07160688095505e-172
LINC01934,3.3945484775849707e-171
SYNE2,2.655923313105614e-170
LIMA1,2.6872545146112812e-170
SNRPB,5.271368150514187e-170
ANP32A,5.640997661111684e-170
ARPC3,1.2558502927229965e-169
CCNB1,1.578836121394381e-169
SEC61B,3.7697028018573005e-169
MT-ND1,5.443625883032858e-169
LIMD2,5.562208987916353e-169
DUSP1,3.0133237756347785e-168
H2AFX,3.320840465521615e-168
MT-ND2,1.3725879584358613e-167
HIST1H1B,1.787897218657163e-167
RHBDD2,2.4324547821587083e-167
RAC2,6.577108569492547e-167
PPIB,1.2851190801159974e-166
MCM10,3.8913270819821957e-166
DSCC1,6.140712907455747e-166
HCST,8.674330600532151e-166
ENTPD1,1.1845199357530434e-165
DPP4,3.2259829005426355e-165
PSMB8,4.987037280625583e-165
SNRPD1,1.0339691180341575e-164
CHCHD10,2.75095435017707e-164
MYO1F,1.8591230851556816e-163
DUSP6,2.0102090261770858e-163
RNASEH2A,3.971089257460717e-163
PSMB6,5.786498640787826e-163
SLAMF1,1.4568429483310798e-162
HSP90AA1,1.4980195101754107e-162
CD59,7.000211295453209e-162
APOBEC3G,9.074502825213386e-162
POMP,1.821724079281256e-161
DDIT4,2.056673109925737e-161
CXCR3,2.2628450491652753e-161
PAK1,2.547107627670163e-161
CCND3,2.75187549145868e-161
CDKN2A,3.094995231566084e-161
LIG1,8.984695388361366e-161
BANF1,1.1259261187714848e-160
NEDD9,1.4757228224617534e-160
PLK1,1.6939122347786597e-160
NDFIP2,2.5293284586527046e-160
GZMK,4.409981905156492e-160
MND1,1.0616005236123986e-159
MYO1G,2.2673794984827774e-159
GSTK1,2.310112472544338e-159
ARL4C,3.150924707938091e-159
CENPN,3.972710068338213e-159
YWHAB,4.0899174310293365e-159
E2F1,5.1898828454721775e-158
RPL22,8.6082920154858e-158
PNRC1,1.2840133823644784e-157
TNFRSF4,1.8597368773190377e-157
TLE5,2.086427792229025e-157
PA2G4,5.34621432082767e-157
TROAP,8.926155271153825e-157
POC1A,9.901311187363258e-157
HMMR,1.6546656025716783e-156
TPI1,1.9374059981093832e-156
LCP1,4.90926779084949e-156
SLC9A3R1,1.1292250274865822e-155
SLCO4A1,2.2087259330960786e-155
HJURP,2.6051802319484295e-155
ACOT7,1.4601784252159372e-154
HELLS,2.034688729529157e-154
EIF1,3.186223974353095e-154
ITM2A,3.7571362594549106e-154
RPL37A,4.5965824176677805e-154
NUF2,6.524662457415374e-154
SARAF,1.3340695050926595e-153
LGALS12,5.325592829493421e-153
CTSW,6.216238827066321e-153
IFI44,1.9547768466058083e-152
RIPOR2,3.3571657042856694e-152
RUNX1,3.490297462479278e-152
PSMA6,7.579876678509302e-152
NEK1,8.570097677288623e-152
RPS9,1.5082465952396828e-151
MCM6,3.512485675361684e-151
SQSTM1,6.801438158773126e-151
RPS11,7.969112773119277e-151
SELENOM,1.1078305364726433e-150
RABAC1,2.2286607320213695e-150
IL9R,5.513777945086903e-150
MZB1,5.695612515623005e-150
AC007384.1,8.349794027219481e-150
PSMB2,1.9552728111144035e-149
CDK6,8.07032470508694e-149
EZH2,1.698558213968058e-148
LSM5,3.711804776538349e-148
CD82,4.0492194505582614e-148
UBE2S,7.053573851540843e-148
GNG2,8.63462261979279e-148
P2RY8,1.1252649349686052e-147
EIF5A,1.3122466820047905e-147
BTF3,1.37960715263815e-147
SRSF3,2.237665919312824e-147
APOO,4.9543999806317333e-147
PRC1,1.764881595946437e-146
FOXM1,1.9412337682898782e-146
KPNA2,2.063214077718422e-146
CENPA,3.137223746989066e-146
CRIP1,3.3286156905309353e-146
CDKN2C,1.926765173345675e-145
CENPP,2.562809776681642e-145
TIGIT,4.5298383113100176e-145
AC244502.1,4.855638518990986e-145
SSR4,6.999622707970629e-145
MYL12B,9.174366581145275e-145
S1PR4,1.341476293800313e-144
GNAI2,1.5068466597789593e-144
CKLF,7.93174413805256e-144
RFC4,1.4907897311377935e-143
EOMES,2.0031129120253252e-143
ANAPC11,2.7831871245224015e-143
POLQ,4.522938070088024e-143
HAVCR2,6.339329989679739e-143
EBP,8.110594680759487e-143
HIRIP3,1.3256374621734885e-142
RPL38,1.6420984180230206e-142
TMBIM6,1.756956438507939e-142
CD27,8.412237798444885e-142
NDUFA12,8.999990048065685e-142
ASB2,1.0278538352431601e-141
BUB1,2.4036260496088004e-141
SRSF2,3.6623064038078033e-141
HIST1H3B,3.752659495674073e-141
CCR4,4.720968802117588e-141
PSMB10,9.683267534922254e-141
IRF7,5.727250036591035e-140
TNFRSF1B,8.2096336726709e-140
NDUFA4,5.37990792338097e-139
HSD17B10,1.747503847492491e-138
ALDOA,2.7753025583528864e-138
SYTL3,5.418729133256497e-138
NDC80,8.711400910171987e-138
MELK,1.7247969141946526e-137
HIST1H1A,2.191288982840406e-137
LAIR1,3.744634778725277e-137
HOMER2,7.080687027128918e-137
TXNIP,1.1188348603711888e-136
TRIM22,1.7393677180289814e-136
CAPZB,2.028063936676933e-136
NSMCE1,2.637869614799478e-136
CCL3,2.6663447673066288e-136
ADRM1,3.0827319217072686e-136
TUBB4B,5.338637745551249e-136
GSTM2,5.3550408337530534e-136
C7orf50,5.476534100507198e-136
CENPE,5.991402083152973e-136
ST6GAL1,1.1814762789375766e-135
MAP3K20,1.224367325976792e-135
RHOC,1.9755337091457728e-135
TNFRSF18,1.9933590808612424e-135
MIR4435-2HG,7.66756175775793e-135
MGST3,8.563377905141197e-135
RPL27,3.5889734648152886e-134
GMFG,4.538314115906495e-134
ATP5MF,7.663050443067835e-134
MXD3,2.0106800259093e-133
CKS2,2.6415313244736367e-133
CHAF1A,9.143887310506582e-133
RPSA,2.9061928892654215e-132
DEPDC1B,4.136693659609832e-132
CACYBP,8.902187312617647e-132
TXNDC17,9.292534750179351e-132
COX6C,1.2993960206643593e-131
GPR15,1.3891999943459582e-131
ATAD5,1.4036247855606715e-131
GIMAP1,2.1730458322427334e-131
RALY,2.546033169245067e-131
DPEP2,3.061619504975686e-131
TEX30,3.0978711151798915e-131
MT-ATP6,4.745132641600301e-131
CAP1,7.054431535804126e-131
PSMC3,8.583849526710856e-131
DUSP10,1.0630877111820505e-130
PSMA2,1.2163246730150528e-130
IFI16,2.3986839902670763e-130
POLR2L,8.491233898941757e-130
LAPTM4B,1.1657561616379196e-129
MIR181A1HG,3.4307301769332985e-129
RPL31,3.7525268595776936e-129
CYBA,1.76545150802645e-128
PSMA4,2.1720320834701422e-128
CDCA4,2.190913745859754e-128
SLFN5,2.2921147836932665e-128
ADAM19,1.2880995973670546e-127
GIMAP5,2.62302456895958e-127
TSHZ2,4.311755722607961e-127
SIVA1,4.490188157403216e-127
RFC2,9.723217408322692e-127
CAMK4,1.3043201800117699e-126
MXRA8,1.5811896853221745e-126
GNG5,1.8102072953900633e-126
STK17B,2.7876684523914157e-126
RNF125,3.07270756192863e-126
FABP5,1.2278876491895048e-125
OAS3,1.3496632231182333e-125
GPX4,2.2777302441984617e-125
SRP14,3.1912497306016604e-125
CALR,3.4792330502520785e-125
YWHAH,4.3637572279627223e-125
ZDHHC14,7.905057448294728e-125
MRPL54,1.1462339298707546e-124
MYB,1.531723511343181e-124
CBX5,1.6804788364783232e-124
TBL1X,3.0747077463014515e-124
HAPLN3,4.180323341744273e-124
SASH1,1.2163493918604669e-123
NEAT1,2.8088175248442466e-123
PRDX3,9.700174317108614e-123
TNF,1.5449085295688906e-122
CLECL1,2.3904722964915579e-122
HLA-DRB1,2.670413410316339e-122
CDK4,2.766021401111364e-122
ARPC4,2.8134585766807394e-122
KIF23,3.457562407615239e-122
MYDGF,4.067556956747652e-122
SGK1,4.1663478535306497e-122
SRP9,4.3278337164092794e-122
LINC01871,5.154185121332192e-122
DDX60,5.705328957972453e-122
IRF4,7.710300934320395e-122
CGAS,1.0491269606289732e-121
RPL21,1.0763780145252328e-121
HTATSF1,1.7981228600364824e-121
FBXO5,2.277144711077471e-121
IER5,3.2477219712326424e-121
CBX3,3.574480766621607e-121
CTSC,4.091233832165379e-121
UBE2L3,5.762250337004078e-121
XRCC5,1.1452120926413427e-120
PSMD8,1.2064063623517245e-120
MRPL27,1.7018384486041254e-120
ARID5A,3.675410595183461e-120
MT-ATP8,4.1083680721861774e-120
PDE4D,4.655786533056152e-120
EGR1,5.1015425073021025e-120
KIF14,6.266563716571135e-120
NINJ2,6.398363721311447e-120
FDX1,1.0132991945861215e-119
DUSP5,1.0933361170109921e-119
DLEU2,1.1265097754624229e-119
UFD1,7.990414613457708e-119
NOP53,1.3216619331934678e-118
STAT4,1.3855221050486417e-118
LST1,1.609773969728944e-118
CDC42,2.1840962305721757e-118
USP1,2.7233281324350568e-118
HNRNPF,3.593618473702213e-118
CLIC1,7.026772493278442e-118
PABPC1,7.028409691866369e-118
RPL4,9.852755038862648e-118
PSME1,1.2264222577865338e-117
MTFR2,1.5700501441645609e-117
COX6A1,1.643455995468724e-117
KLRB1,1.849323787427291e-117
SELENOH,2.2857334000277476e-117
HSP90AB1,2.66201131216062e-117
CCDC18-AS1,2.7843072815292575e-117
TKT,3.542410773654708e-117
SORL1,4.984604214764807e-117
RHOA,4.98935446060789e-117
CD5,5.9053095049636066e-117
OIP5,7.785014228741044e-117
ID2,9.63476900794885e-117
HNRNPDL,1.0012383317416384e-116
MAP3K8,1.8404212625282323e-116
IDH2,2.015790430359656e-116
WDR34,2.237826749813034e-116
PPP1R10,2.2839272986088947e-116
PLIN2,9.034656417934429e-116
C12orf57,1.0627459921820804e-115
FOXP3,1.1659073919080184e-115
PSMB1,3.6470449710386956e-115
CIP2A,3.7355020412432576e-115
CENPH,8.962269034519239e-114
E2F8,1.0956047954418798e-113
AC119396.1,1.4644057485662592e-113
EIF4A1,1.4651839212930066e-113
PRKCQ-AS1,2.136349625349871e-113
TSC22D3,3.543199389591852e-113
S100P,4.083344960729498e-113
SEC61G,7.075181946141263e-113
VAMP5,7.84743128138354e-113
ARHGAP31,8.199974962302106e-113
C12orf75,9.646146299386881e-113
OSTF1,2.343759962419341e-112
EEF1D,9.38464190424294e-112
COX5A,1.3084803126507002e-111
SELL,2.246459714798217e-111
NRM,2.7662463109743904e-111
ERH,4.057223866161228e-111
CLIC3,4.359837711267194e-111
HNRNPD,4.913834493948886e-111
FP236383.3,6.4655280917283685e-111
RFC3,1.3067879237318993e-110
SNRPA,1.892757968794737e-110
INPP4B,3.506901242750413e-110
KLHL42,6.856309058111309e-110
SPINK2,8.802506995364108e-110
YWHAZ,1.2564956372527506e-109
RPL41,2.252712906761527e-109
EXO1,5.118887045090952e-109
HIST1H1D,5.6349078544898875e-109
BIRC3,7.993140073746336e-109
TCF7,1.2560147724380897e-108
CLTA,1.6851412316595491e-108
GBP4,3.536024333749617e-108
NCAPH,4.521479383727204e-108
CD2,9.34024849702061e-108
PTGER4,9.790231999662286e-108
LSM4,1.1055589046660633e-106
E2F7,2.5952541266298266e-106
RBM8A,3.556200185429676e-106
SLBP,5.890003942421255e-106
EIF2AK2,6.336909215674974e-106
THEMIS,1.0875262295765643e-105
SERINC5,1.689258598500049e-105
P4HB,2.444111035973574e-105
PTPRC,4.628826468347848e-105
SEPTIN1,6.895372091202174e-105
UQCRQ,1.1860311783022272e-104
NEIL3,2.206260611228844e-104
PGAM1,2.5530102815312974e-104
CLEC2B,3.1169199049989845e-104
NFKB2,4.405406004582602e-104
ANLN,9.102325339958295e-104
MYO1E,1.0564272185594799e-103
GINS4,1.4929407325032338e-103
PFDN5,1.703205548956272e-103
PSMC4,2.7692936772757907e-103
SKA2,3.156590569992276e-103
PTPN7,3.7801553116126936e-103
SESN3,3.830885798094489e-103
SAMD9L,4.209746054053252e-103
UBE2N,4.280185415471915e-103
NUCKS1,4.465309038311197e-103
CHAF1B,1.2239856966554739e-102
RBM47,1.3940800911929647e-102
SPC24,1.432845188693032e-102
NDUFV2,1.868732694848933e-102
ACP5,4.2530342608386365e-102
JUN,4.2951908178944085e-102
BRIP1,4.888388754548178e-102
PGK1,1.0867028246013649e-101
LINC00910,1.616058232884654e-101
AFDN,1.8925297139091015e-101
CSF2,2.3184816288683822e-101
ATP5F1B,2.542471253048802e-101
UBA52,4.064747686794766e-101
SAE1,5.5927511065706416e-101
TMEM258,5.887858865878e-101
AURKA,6.426008128440931e-101
H3F3A,7.19283121735612e-101
NME3,8.918206713553803e-101
FLT3LG,9.748756550398854e-101
SPRY1,1.8191810208543263e-100
TUBA4A,1.967336163130056e-100
WDR76,2.583588617203992e-100
SRSF7,2.881097832615042e-100
EFHD2,6.199919497585403e-100
PSMC5,6.862057106836463e-100
STIL,1.3764058435382323e-99
SKA3,1.6011138341554572e-99
SRSF5,1.7511907367054692e-99
ANAPC15,2.3752635583206197e-99
BCL2L12,3.209828039323357e-99
NOP10,3.829200780855484e-99
EWSR1,4.7079655917230825e-99
CIT,5.683237788303363e-99
ARHGAP25,7.32529818063461e-99
EMP3,1.1349978607323505e-98
HNRNPA1,1.4361284809902505e-98
SEMA5A,2.9285063825824416e-98
MRPL41,2.485030044713918e-97
S100A10,2.6943427430515747e-97
CSK,6.652059540600246e-97
PSMD14,8.878087557658757e-97
SAMHD1,9.686588599300698e-97
RELB,2.88613097067721e-96
WDHD1,3.896502006086593e-96
SP100,5.905687659000409e-96
HIST1H3D,6.057851256693809e-96
ADGRE1,7.500083464311676e-96
UBE2I,8.86815215046057e-96
LUCAT1,9.97183383786605e-96
FRY,1.04235601617606e-95
RBM3,1.3263832624790738e-95
A1BG,1.3674269737795739e-95
RAD54L,1.612198704306239e-95
KDM7A,1.7825357717969606e-95
TC2N,1.7979972981327104e-95
NPM1,2.526292111358786e-95
LAG3,2.959159133454325e-95
UBE2L6,3.176169072312375e-95
CEBPD,3.5063289238477556e-95
LSM3,5.43841982512436e-95
RACGAP1,7.64275454175248e-95
CYTOR,9.063192803366282e-95
HNRNPM,9.669583127377032e-95
RBMS3,1.8448065051360946e-94
PPP1R15A,2.7008577923671703e-94
HOXB2,2.889890099941616e-94
CTSD,3.685388956897385e-94
MDH1,1.2142998770442423e-93
TNFRSF11A,1.3248283577566744e-93
LCK,1.583065080548519e-93
CANX,1.6679652819098036e-93
NCAPD2,2.8296771327976436e-93
S1PR1,3.630543761472281e-93
ARF6,3.7604825134051615e-93
SSR2,6.511559312286348e-93
KIF22,6.840255654643776e-93
RSAD2,7.048253577531601e-93
RAMP1,7.3017366734433804e-93
CD44,8.243149308202819e-93
BRCA2,1.0401294983990898e-92
SOX4,1.050327709165795e-92
MTHFD1,1.5290806496305996e-92
TUBA1C,1.5658384231667855e-92
AHR,1.926048366836163e-92
NCAPD3,2.1693492939388453e-92
ZEB1,2.4583263375192385e-92
MAF,2.771362558026856e-92
SFXN1,4.120277808463285e-92
IRX3,5.0541219584023415e-92
SAC3D1,6.312296547069631e-92
OAS2,1.4348263368784087e-91
IFI27L2,3.099096889460903e-91
C3orf14,3.6698551142494487e-91
LINC01943,4.3618803630158494e-91
NDUFAB1,5.007525301943122e-91
PLEKHO1,6.950883105297033e-91
TBXAS1,7.121809140827249e-91
KIF18B,8.025218237961729e-91
PAQR4,1.5277101500636754e-90
IKZF2,1.559022692590969e-90
NDUFA13,2.797415246714182e-90
JUNB,2.826906133339693e-90
SGO2,2.9668810693937587e-90
LAYN,2.994458402577464e-90
PRDX6,1.184801689500516e-89
MPP1,1.3693038255510527e-89
QPRT,1.5635293497785041e-89
HM13,1.597335949877662e-89
STK17A,1.6436293159048026e-89
LMCD1,1.7003465166004936e-89
LFNG,1.7423759491559116e-89
ICOS,2.1384977022644817e-89
BLM,3.152230944280751e-89
SAT1,5.153528329802279e-89
TAPBP,8.531586803776879e-89
GADD45B,1.0362539685910884e-88
COX7C,1.718053064962602e-88
CD6,1.7249131636868857e-88
SRSF9,3.209249047642469e-88
USP18,3.5527417565040906e-88
EIF4A3,3.686136609524574e-88
LRR1,4.0141308473373656e-88
TBCB,5.770588506463382e-88
ECT2,7.449514279921573e-88
TRIP13,1.0308314174181313e-87
TNFSF12,1.4130527124300615e-87
SMCO4,3.3417323432114533e-87
SNRPC,5.0744994398143825e-87
CMTM8,6.67996161144745e-87
HMGN1,7.777500350319027e-87
VRK1,8.577532103563933e-87
PARP8,9.060045651913719e-87
CKB,2.4171658863383278e-86
SNRPE,3.8658683914125676e-86
COPS3,6.318474539943199e-86
GTF3C6,7.093625280376319e-86
TIMP1,1.2099336408521611e-85
