Gene,dropout,highly_variable,F_pval,Adj_F_pval
TCF7,0.798227675528289,1,3.3638865499357125e-181,1.3672456650461286e-176
PLAC8,0.9420586230402181,1,3.076870555245536e-117,4.354990638397083e-112
SPINT2,0.8950238582140423,1,1.5270757725402163e-100,1.1929899687242596e-95
CD7,0.3074301295160191,1,8.362045205897013e-87,9.901835996076238e-83
LEF1,0.8445807770961146,1,2.802061811364797e-82,1.478562849925832e-77
RPS4X,0.0,0,3.1118802749146466e-78,2.552053013457502e-74
GSTM2,0.8064076346284935,1,1.3939188843697479e-77,5.904948136141132e-73
FTL,0.0,1,6.310858942546625e-74,5.175535418782487e-70
SPOCK2,0.5023858214042263,1,5.680025397372617e-74,9.36104522087837e-70
SIRPG,0.89093387866394,1,2.2929181548300546e-72,1.724112085165362e-67
CD6,0.6980231765507839,0,5.605006649944534e-69,1.5221916374627145e-64
CCL5,0.1056578050443081,1,3.8351427220345667e-66,3.5167753060073047e-62
FTH1,0.0006816632583503749,1,4.57854279260289e-66,3.7574242422656178e-62
MT-CO3,0.019768234492160874,1,1.1809295840516968e-62,9.880115968074608e-59
LGALS1,0.1329243353783231,1,1.2116593286850284e-61,1.1460151126351307e-57
GZMA,0.278118609406953,1,7.934400357844663e-60,9.013948576957652e-56
MT-CO1,0.0013633265167007499,1,2.595033809575827e-59,2.1310926022873788e-55
PECAM1,0.9066121336059987,1,8.526743836397397e-60,7.487892046625321e-55
NKG7,0.40081799591002043,1,3.7841903845402805e-58,5.179418796255173e-54
CD5,0.6448534423994546,0,3.466647893979159e-57,8.005140066850933e-53
C1orf162,0.8657123381049762,1,1.408786761617498e-54,8.603515817452197e-50
FCER1G,0.9100204498977505,1,2.872156276557661e-50,2.6177674368545796e-45
GBP5,0.6789366053169734,1,3.331523512459756e-49,8.509791143476892e-45
AIF1,0.9427402862985685,1,1.4388459430347001e-49,2.0607814493023887e-44
AHNAK,0.44103612815269255,1,1.473220656699946e-48,2.1614782661475253e-44
IL7R,0.19359236537150648,1,3.3655931506652667e-47,3.4227391015862036e-43
BEX3,0.8997955010224948,1,2.7373729345108613e-45,2.240338075136045e-40
ARMH1,0.9406952965235174,1,8.169145610222098e-44,1.1296770613817914e-38
HOPX,0.2719836400817996,1,1.0114689764082954e-41,1.1394053117784963e-37
LRRN3,0.6748466257668712,1,9.810912678814688e-41,2.4745028425038413e-36
EEF1A1,0.0,0,3.790425950897332e-40,3.108528322330902e-36
PDE4D,0.6134969325153374,1,1.6476630922759392e-40,3.496087394000098e-36
B2M,0.0,0,7.358393916797113e-40,6.034618851165312e-36
FYB1,0.36400817995910023,1,4.419023658134355e-39,5.698251436320245e-35
RPLP0,0.011588275391956374,1,9.403205784636306e-39,7.801980563351038e-35
RPS2,0.002044989775051125,1,1.108968751966252e-38,9.113289318348338e-35
SH3BGRL3,0.002044989775051125,0,3.4098707637844227e-38,2.802165412997186e-34
PASK,0.7334696659850034,1,1.8652459160023883e-38,5.739264843406114e-34
RRS1,0.9045671438309475,1,9.269452730311047e-39,7.965682354368504e-34
IL9R,0.9086571233810498,1,8.887641828394901e-38,7.979554983660885e-33
LINC02694,0.8575323790047716,1,2.0223242499298342e-37,1.1641298603722773e-32
CD27,0.5753237900477164,1,2.0883863195832712e-36,4.0329210361999726e-32
RPL13,0.0,0,5.536627376520272e-36,4.5405881114842754e-32
CD84,0.9229720518064076,0,8.1206269571642e-37,8.645856891881165e-32
RPS8,0.0,0,4.5772629494631705e-35,3.753813344854746e-31
HLA-DPA1,0.8179959100204499,1,2.9709196488644685e-35,1.338679369407308e-30
JAK2,0.5241990456714383,1,8.025447750742616e-35,1.3832821562268417e-30
CD74,0.07975460122699386,1,3.915384141866422e-34,3.489293767755856e-30
GPR15,0.8384458077709611,1,2.7166436042768633e-34,1.379053919386311e-29
RPS23,0.0013633265167007499,0,7.386378489545985e-33,6.065838718047006e-29
MAL,0.37355146557600544,1,6.222817078953992e-33,8.146450994801304e-29
HCST,0.11179277436946149,0,1.5440421376130607e-32,1.4256458633935863e-28
PYHIN1,0.3605998636673483,0,1.8190573759793276e-32,2.33313831085035e-28
RPL18A,0.002044989775051125,0,4.077463712636767e-31,3.350780302189833e-27
CD52,0.007498295841854124,1,4.54999067591271e-31,3.759638233045736e-27
IFITM1,0.015678254942058625,1,1.0465443021157083e-30,8.719415033491625e-27
SLC25A6,0.06612133605998637,0,2.4252889103058335e-30,2.1298049866032418e-26
MALAT1,0.0,0,3.0758676100296362e-30,2.5225190269853046e-26
MT2A,0.2365371506475801,1,2.5169985642976804e-30,2.7037209791300306e-26
RPS12,0.0006816632583503749,0,4.604065565411233e-30,3.778369746026081e-26
IFITM2,0.049079754601226995,1,4.746722656666714e-30,4.093705302383076e-26
LINC01871,0.5330606680299932,1,5.2905522805821804e-30,9.291960707186992e-26
KRT1,0.8166325835037491,1,2.2484890432363298e-30,1.0056235178488301e-25
MAF,0.7893660531697342,0,5.771862040965592e-30,2.2472655196506666e-25
AOAH,0.4171779141104294,1,2.0866866245005166e-29,2.9362162865549307e-25
RPS18,0.0006816632583503749,1,7.452895285485329e-29,6.116288672892294e-25
CCR3,0.858214042263122,1,1.2203657925311328e-29,7.058681991005603e-25
RPSA,0.012269938650306749,1,9.855686501626806e-29,8.183054071412519e-25
CRIP1,0.1111111111111111,1,2.208931802228617e-28,2.03798809238365e-24
RPL18,0.0006816632583503749,0,4.03618848572886e-28,3.3123360749478385e-24
MT-CYB,0.006134969325153374,1,4.7415003469346025e-28,3.912507548314407e-24
HLA-DPB1,0.8650306748466258,1,7.804998738067907e-29,4.742469785498123e-24
RPS5,0.00954328561690525,0,1.1633786862039876e-27,9.632797139955203e-24
GNLY,0.5848670756646217,1,5.600359524834439e-28,1.1063576452457527e-23
CACNA2D4,0.94546693933197,0,1.1153237356442836e-28,1.6772889406849422e-23
PDE7B,0.2119972733469666,1,1.6248876914173657e-27,1.6910733309151704e-23
GZMM,0.35310156782549423,0,2.2314295110654366e-27,2.82887583429961e-23
PRF1,0.3776414451261077,0,2.9626348182980897e-27,3.903950215609363e-23
LIME1,0.47716428084526247,1,3.1642484260286427e-27,4.96331837920599e-23
CXCR6,0.7259713701431493,1,1.735934302578221e-27,5.195222565934411e-23
RPL19,0.0,0,2.9059917282069915e-26,2.3832038163025537e-22
RACK1,0.0027266530334014998,0,3.000988557921197e-26,2.467839658842906e-22
OGT,0.5085207907293797,0,3.100710881574762e-26,5.173958421869447e-22
FLNA,0.38445807770961143,0,5.903616117149169e-26,7.865517200938877e-22
ZEB2,0.869120654396728,1,1.8762796318316808e-26,1.1756911825716625e-21
JAML,0.7293796864349011,1,6.748791429481732e-26,2.045184183849738e-21
NCF4,0.5903203817314246,0,3.001857341975849e-25,6.009142501544917e-21
RPS24,0.002044989775051125,0,1.4912153482170679e-24,1.2254517433578026e-20
RPL7A,0.0027266530334014998,0,1.6269203148233824e-24,1.337885299196052e-20
CYSLTR1,0.8752556237218814,1,5.085517711194625e-25,3.343343563362128e-20
ISG20,0.1710974778459441,1,6.273591851555994e-24,6.20696950479884e-20
IL32,0.0,0,9.253779682839026e-24,7.589024717896285e-20
TIMP1,0.48807089297886846,1,6.259736595391946e-24,1.0027970497229469e-19
SELL,0.6557600545330606,1,4.7362382243660506e-24,1.1283376664883983e-19
ID2,0.29243353783231085,1,1.1204053272266794e-23,1.2985980229244373e-19
MT-CO2,0.0006816632583503749,1,1.8329996879074935e-23,1.5042684485850317e-19
SESN3,0.7150647580095433,1,7.500448457991774e-24,2.1587774602500985e-19
RPL10A,0.03612815269256987,1,3.4704479103461017e-22,2.952793298430118e-18
RPL32,0.0006816632583503749,0,3.6864003209541252e-22,3.025279124840136e-18
LAG3,0.6748466257668712,1,1.6326477118959736e-22,4.117854817541881e-18
RPS3,0.0,0,1.3117031292548369e-21,1.0757277363018917e-17
S100A6,0.02794819359236537,1,1.6838575568638108e-21,1.420635786365599e-17
TSHZ2,0.9250170415814588,1,3.773155652172083e-22,4.126757620143693e-17
TNFRSF4,0.7477845944103613,1,1.8122991423293004e-21,5.892845931237265e-17
RPS6,0.0054533060668029995,1,1.010198291309183e-20,8.330062567764248e-17
P2RY8,0.4567143830947512,0,6.4732590477062975e-21,9.771507987390354e-17
COTL1,0.3312883435582822,1,8.623595597073692e-21,1.0575874790028458e-16
FRY,0.94546693933197,0,8.539904696118839e-22,1.2842807198960147e-16
RPL3,0.0054533060668029995,0,1.611999709135811e-20,1.3292497672824967e-16
RPS14,0.0,0,2.650645977831132e-20,2.1737947664193113e-16
GPR55,0.8984321745057942,1,3.7546971082274735e-21,3.031695404991232e-16
PLPP1,0.46898432174505794,1,2.005589857161829e-20,3.0974306582879287e-16
HSD17B10,0.5603271983640081,0,2.6427668496936662e-20,4.929422710181936e-16
FXYD5,0.0190865712338105,0,6.22271395648391e-20,5.202546489888931e-16
CORO1B,0.5528289025221541,0,2.928076966359378e-20,5.370015937200177e-16
RPS13,0.0013633265167007499,0,7.229465807275339e-20,5.936978949377286e-16
CST7,0.0736196319018405,1,6.87724306680061e-20,6.088241108414295e-16
PLAAT4,0.04158145875937287,0,9.633732868318152e-20,8.243396788923486e-16
ACTG1,0.002044989775051125,1,1.7222449078153439e-19,1.4153073379339934e-15
EEF1B2,0.11179277436946149,0,1.7241459176622706e-19,1.5919393878731946e-15
CAMK4,0.3203817314246762,0,1.6993098661306584e-19,2.050568805537187e-15
CAPG,0.5991820040899796,1,1.0389252514148224e-19,2.1257094426383146e-15
SEMA5A,0.9461486025903204,1,1.6376644484480452e-20,2.4939902746717464e-15
RPS15A,0.0006816632583503749,0,3.2383121237902493e-19,2.657551327817737e-15
MEAK7,0.9481935923653715,0,1.79850452110382e-20,2.847048512144571e-15
FLOT1,0.8179959100204499,0,6.799697361304074e-20,3.0639046664457027e-15
GAPDH,0.0054533060668029995,1,5.190819048158311e-19,4.280332665487267e-15
RPL10,0.0,0,5.563487013809145e-19,4.56261570002488e-15
RESF1,0.35310156782549423,0,4.406310485815991e-19,5.586062741365393e-15
RPL8,0.0013633265167007499,0,7.141491932904562e-19,5.864733080296772e-15
CD99,0.11860940695296524,0,9.495001940837794e-19,8.834733605178761e-15
MMP25,0.874573960463531,1,1.5746284650167957e-19,1.0295731324473486e-14
RPL28,0.0006816632583503749,0,1.2556088005139724e-18,1.0304271816516463e-14
HLA-DRA,0.8500340831629175,1,1.951107249698474e-19,1.0669778101753694e-14
SNHG29,0.23721881390593047,0,1.1694903162045432e-18,1.2573710859736197e-14
