,exp1_abs,exp1_norm,exp1_perc,exp2_Sample1_perc,exp2_Sample2_perc,exp2_Sample3_perc,exp2_Sample4_perc,exp2_Sample5_perc,exp2_Sample6_perc,exp2_Sample1,exp2_Sample2,exp2_Sample3,exp2_Sample4,exp2_Sample5,exp2_Sample6,exp3_Sample1,exp3_Sample1_perc,exp3_Sample4,exp3_Sample4_perc,exp3_Sample2,exp3_Sample2_perc,exp3_Sample3,exp3_Sample3_perc,exp3_Sample5,exp3_Sample5_perc,exp3_Sample6,exp3_Sample6_perc
10,241,96.63191659983961,0.016105319433306602,0.0,0.017915309446254073,0.003695491500369549,0.01913613996719519,0.025176233635448138,0.012711864406779662,0,33,5,35,75,33,80.0,0.01136040897472309,101.0,0.01853551110295467,11.0,0.002843846949327818,64.0,0.0206052801030264,17.0,0.009664582148948267,23.0,0.02184235517568851
11,482,193.26383319967923,0.032210638866613205,0.0055147058823529415,0.0249728555917481,0.011086474501108648,0.028430836522689993,0.02014098690835851,0.02349768875192604,3,46,15,52,60,61,56.0,0.007952286282306162,64.0,0.011745274362268306,72.0,0.01861427094105481,36.0,0.01159047005795235,18.0,0.01023308698123934,7.0,0.006647673314339981
14,536,214.91579791499598,0.03581929965249933,0.0,0.0249728555917481,0.0014781966001478197,0.016402405686167305,0.022826451829472977,0.005778120184899846,0,46,2,30,68,15,,,,,,,,,,,,
8,75,30.072173215717722,0.005012028869286287,0.0,0.0,0.0022172949002217295,0.01038819026790596,0.020476670023497817,0.026579352850539292,0,0,3,19,61,69,293.0,0.041607497869923314,239.0,0.043861258946595705,337.0,0.08712512926577043,135.0,0.04346426271732132,99.0,0.056281978396816375,63.0,0.05982905982905983
28,127,50.922213311948674,0.008487035551991446,0.007352941176470588,0.01031487513572204,0.0007390983000739098,0.004920721705850191,0.002685464921114468,0.00847457627118644,4,19,1,9,8,22,35.0,0.004970178926441352,4.0,0.0007340796476417691,3.0,0.0007755946225439503,31.0,0.009980682549903412,3.0,0.0017055144968732233,17.0,0.016144349477682812
5,1527,688.7686062246279,0.11479476770410464,0.03308823529411765,0.03474484256243214,0.0066518847006651885,0.025150355385456534,0.02484055052030883,0.014637904468412942,18,64,9,46,74,38,,,,,,,,,,,,
31,55,24.80829950383401,0.004134716583972335,0.0,0.0016286644951140066,0.0,0.0,0.0016784155756965425,0.0003852080123266564,0,3,0,0,5,1,,,,,,,,,,,,
16,269,121.33513757329725,0.020222522928882873,0.011029411764705883,0.009771986970684038,0.0,0.04811372334609076,0.027526015441423298,0.014252696456086287,6,18,0,88,82,37,,,,,,,,,,,,
44,5,2.2552999548940007,0.0003758833258156668,0.001838235294117647,0.0,0.0,0.0010934937124111536,0.000671366230278617,0.0007704160246533128,1,0,0,2,2,2,,,,,,,,,,,,
6,11,4.961659900766802,0.000826943316794467,0.16176470588235295,0.2296416938110749,0.3518107908351811,0.056861673045379986,0.0436388049681101,0.1386748844375963,88,423,476,104,130,360,,,,,,,,,,,,
21,520,223.5597592433362,0.037259959873889366,0.01838235294117647,0.021172638436482084,0.005912786400591279,0.0065609622744669215,0.008392077878482713,0.002696456086286595,10,39,8,12,25,7,29.0,0.00411814825333712,106.0,0.019453110662506882,6.0,0.0015511892450879006,24.0,0.0077269800386349004,45.0,0.025582717453098352,2.0,0.001899335232668566
26,220,94.5829750644884,0.015763829177414732,0.003676470588235294,0.0,0.0,0.0016402405686167304,0.002685464921114468,0.0015408320493066256,2,0,0,3,8,4,,,,,,,,,,,,
4,908,390.3697334479794,0.0650616222413299,0.05514705882352941,0.048317046688382194,0.038433111603843315,0.015855658829961726,0.020476670023497817,0.019645608628659477,30,89,52,29,61,51,383.0,0.054387957966486794,196.0,0.03596990273444669,239.0,0.061789038262668045,133.0,0.04282034771410174,88.0,0.050028425241614556,31.0,0.029439696106362774
40,39,16.766981943250215,0.0027944969905417025,0.0,0.0,0.0,0.0,0.0010070493454179255,0.0,0,0,0,0,3,0,5.0,0.0007100255609201931,,,14.0,0.0036194415718717684,,,1.0,0.0005685048322910744,2.0,0.001899335232668566
41,74,31.81427343078246,0.00530237890513041,0.0,0.002171552660152009,0.0,0.002186987424822307,0.0016784155756965425,0.0,0,4,0,4,5,0,,,,,,,,,,,,
