Gene,dropout,highly_variable,F_pval,Adj_F_pval
RPL30,0.0011933174224343676,0,1.5863028736371724e-07,0.0013512389418617015
ITM2A,0.31026252983293556,1,1.1090065976054394e-07,0.0013679738365006734
SSR4,0.045346062052505964,0,1.598669739544107e-07,0.0014247552545883222
CRIP1,0.09665871121718377,1,1.7007593417548534e-07,0.0016018376065980112
DUSP1,0.6503579952267303,1,7.521578760108642e-08,0.0018302604154355505
SNX9,0.8007159904534606,1,4.439553064044301e-08,0.001895371211911911
RPS29,0.003579952267303103,0,2.715626917688295e-07,0.0023187564188682525
ITM2B,0.08233890214797136,0,2.588380561724341e-07,0.002399790278861935
DBNDD2,0.8997613365155132,0,3.372813768945685e-08,0.0028627575975841827
GIMAP4,0.45584725536992843,1,2.013975073801941e-07,0.003148913627102192
RPL11,0.0011933174224343676,0,4.0283995289857645e-07,0.003431457136846824
KLF12,0.5560859188544153,1,1.874884593668051e-07,0.003593379620164913
CXCR3,0.5023866348448688,1,2.1071936345016057e-07,0.0036027978140720954
PDIA3,0.10501193317422435,0,4.4561720449729575e-07,0.004236158353830916
XBP1,0.18496420047732698,0,4.1653185444183074e-07,0.004348094917630071
AC011476.3,0.9343675417661098,1,3.502631281632973e-08,0.00454049531985159
MAP1LC3A,0.863961813842482,0,8.243905736097639e-08,0.005155842780901601
EIF3H,0.0883054892601432,0,6.231439845425872e-07,0.005815225339226729
OST4,0.05250596658711217,0,7.318881058720653e-07,0.006571971732982981
H3F3B,0.016706443914081145,0,7.860922567564801e-07,0.006801705227385562
EIF3F,0.07517899761336516,0,7.425272776996334e-07,0.006830967357321532
RPL36,0.002386634844868735,0,8.415367414403646e-07,0.0071769232913807815
SYPL1,0.8794749403341289,0,1.0253820172094445e-07,0.007238287395669549
RPL23,0.16467780429594273,0,8.81958214986727e-07,0.008983001447462469
FKBP5,0.8424821002386634,0,1.8847506872974488e-07,0.01018008675320255
GLCCI1,0.5465393794749404,1,5.596880430896227e-07,0.010501079156758566
CD84,0.8949880668257757,0,1.313534232483067e-07,0.010642170763035747
RPL9,0.010739856801909307,0,1.2453917889849878e-06,0.010710826079002922
TMEM273,0.9367541766109785,1,8.303973133740201e-08,0.011170730276890568
S1PR4,0.21360381861575178,0,1.03468794018437e-06,0.011194262133360037
EVI2B,0.28878281622911695,0,1.0548604317432547e-06,0.012618863489331559
GAPDH,0.0011933174224343676,1,1.564367638586678e-06,0.013325541469894852
VIM,0.07040572792362769,1,1.4614854934487798e-06,0.013376070563008649
SAMSN1,0.6288782816229117,0,7.29110725010249e-07,0.01671493135867676
PTDSS1,0.4236276849642005,0,1.1574730685606052e-06,0.017085797860887826
CCDC200,0.905727923627685,0,1.9343495164558145e-07,0.017457391753003905
PPP1CC,0.43914081145584727,0,1.158650426688276e-06,0.017576243790981085
TP63,0.9128878281622912,1,1.8934054521775366e-07,0.01849235674796164
PRELID1,0.28878281622911695,0,1.5701477850911014e-06,0.018783035140864372
CNN2,0.1324582338902148,0,1.946963860094215e-06,0.01909391474713778
PLSCR1,0.9009546539379475,0,2.342496059595461e-07,0.020122052441062646
HOMER2,0.8615751789976134,1,3.39354566899398e-07,0.020857738043456083
UBE2F,0.4677804295942721,0,1.3579607079180736e-06,0.021708201549520897
TSHZ2,0.9486873508353222,0,1.339045959278574e-07,0.02220232867919136
RSL24D1,0.38902147971360385,0,1.6428043235502196e-06,0.022876383900065026
CLECL1,0.8102625298329356,1,5.271334791272215e-07,0.023637142607970237
SUB1,0.1909307875894988,0,2.2600500669820137e-06,0.023766206493749158
GPR183,0.7350835322195705,1,7.558668494819831e-07,0.024275256307293214
MYO1E,0.7852028639618138,1,6.262126535583975e-07,0.024803949227366225
TMEM123,0.25059665871121717,0,2.2218969415177917e-06,0.02522526673810058
LINC00861,0.8293556085918854,1,5.858734433259228e-07,0.029210519107514713
RGS10,0.41646778042959426,0,2.340600261645485e-06,0.03412635388109378
PTPN6,0.5095465393794749,0,2.1032292142564747e-06,0.03648516238881082
CD3E,0.0059665871121718375,0,4.457870266512021e-06,0.03815521665141875
GYPC,0.15632458233890215,0,3.925385746527597e-06,0.03958534435439999
CLIC3,0.7243436754176611,1,1.3743450301946848e-06,0.042418498957398985
RETREG1,0.9128878281622912,0,4.415924992086008e-07,0.04312909325996656
LITAF,0.17780429594272076,0,4.2496423390272434e-06,0.043974879511076766
FLT3LG,0.616945107398568,0,2.00014038974433e-06,0.04442494996050377
NOB1,0.6742243436754176,0,1.84818648292398e-06,0.0482674819049415
GTSF1,0.9486873508353222,0,3.0022716457582233e-07,0.049779786422904614
POLR1D,0.36515513126491644,0,3.934105968954987e-06,0.05272370500616964
CD226,0.6813842482100239,0,2.004866337818434e-06,0.05353596834535371
RPL34,0.0011933174224343676,0,6.7371632765302806e-06,0.0573882675762617
AL138828.1,0.6264916467780429,1,2.7566170889832068e-06,0.06279189739869624
DPYD,0.418854415274463,0,4.29468596470272e-06,0.0628744141710161
RPS19,0.0011933174224343676,0,7.479604196992591e-06,0.0637125017463738
EIF3E,0.15990453460620524,0,6.360648929444457e-06,0.06441696607223844
PDE6G,0.766109785202864,1,1.8258793887383187e-06,0.06641826317043442
BTG1,0.10143198090692124,0,7.211461462589204e-06,0.06828099022001076
MT1E,0.8782816229116945,1,1.0351689356477957e-06,0.07235733432513561
GPR155,0.7911694510739857,0,1.8108211965253695e-06,0.07377496644658124
MYO1D,0.8878281622911695,0,1.0103458467463446e-06,0.07663262579713617
CBR3,0.9260143198090692,0,6.830801318764083e-07,0.07855095400902834
TRIM56,0.7386634844868735,0,2.421625248621094e-06,0.07883776813513611
ADA,0.7088305489260143,0,2.796916320874054e-06,0.08172617000246321
ATP5F1A,0.27684964200477324,0,7.082209785903338e-06,0.08332353042804319
RPL38,0.03699284009546539,0,1.1190042407979627e-05,0.09886206953697892
PLAAT4,0.07040572792362769,0,1.1046515996229386e-05,0.1011019117899623
NCDN,0.747016706443914,1,3.1195142963787035e-06,0.10491138470258692
HLA-DPB1,0.8210023866348448,1,2.2863101977221173e-06,0.1086714330796011
ABLIM1,0.5775656324582339,0,5.843237498344858e-06,0.11768518012683427
PCAT1,0.8985680190930787,1,1.4655328587580061e-06,0.12292724100256924
PTPRCAP,0.013126491646778043,0,1.4796721719464574e-05,0.12756498915375267
TUBA1A,0.5310262529832935,0,7.139054934991577e-06,0.12951488174613024
GNA15,0.9105011933174224,0,1.3815171811658766e-06,0.13133078096836096
TUBB,0.30668257756563244,1,1.1160884986685925e-05,0.1369600797471852
LY9,0.8090692124105012,0,3.2118788309493306e-06,0.1431234084283423
APOO,0.14081145584725538,0,1.4752394633308915e-05,0.14608362087039042
DDT,0.5178997613365155,0,8.434485884108266e-06,0.14884996966799566
COX5A,0.16706443914081145,0,1.5459175308773045e-05,0.1579073696785966
ITM2C,0.7004773269689738,1,5.992704729794586e-06,0.17022394774038005
EIF5A,0.1873508353221957,0,1.684155053392804e-05,0.17632198268421276
GPR55,0.9307875894988067,0,1.485704583705619e-06,0.18263161919421186
SERINC5,0.581145584725537,0,8.998724296073358e-06,0.18278701028094418
LINC00963,0.8985680190930787,0,2.1977452011970043e-06,0.18434438531711858
JAK2,0.6551312649164678,1,7.511304340290843e-06,0.18530580138473696
AC093157.1,0.8544152744630071,0,3.2786255467583536e-06,0.19160352192807556
RNF125,0.45465393794749404,1,1.3035382281639444e-05,0.20336633959504133
STAP1,0.7828162291169452,0,5.2817594858630625e-06,0.20690869084283423
S100A6,0.041766109785202864,1,2.4136590379205806e-05,0.2143047882602555
CKAP4,0.89618138424821,0,2.644975652152066e-06,0.2167573964028873
DPP4,0.7386634844868735,0,6.658751793196408e-06,0.21678049906374244
HNRNPC,0.2350835322195704,0,2.0041323179622383e-05,0.2229152917925841
CEP57,0.5047732696897375,0,1.3107097647227154e-05,0.2251800639128338
RPL36AL,0.00954653937947494,0,2.6317327639056306e-05,0.2260659712499883
DZIP3,0.834128878281623,0,4.420301384358081e-06,0.2267297874911033
NPM1,0.034606205250596656,0,2.6072133481892115e-05,0.22977329341703356
JAKMIP2,0.9427207637231504,0,1.6467596623008596e-06,0.24460226981968947
CD74,0.11694510739856802,1,2.6156632091416604e-05,0.25201222222797476
JUND,0.28042959427207637,0,2.1400059189166147e-05,0.25302833764715527
OLA1,0.5584725536992841,0,1.329867666523636e-05,0.25625845463470903
CHCHD2,0.026252983293556086,0,2.936552221963539e-05,0.25657779562674426
CD2,0.30668257756563244,0,2.0914583572363135e-05,0.25665196239967597
LSM2,0.48568019093078757,0,1.5992382126443483e-05,0.26454976987571366
IMPDH2,0.6789976133651552,1,1.0065469892694925e-05,0.2667800035532587
CYBA,0.00954653937947494,0,3.1063883700837276e-05,0.2668389106956558
QARS,0.6324582338902148,0,1.1634877695458644e-05,0.2693286819637087
HNRNPA1,0.12052505966587113,1,2.805741331409132e-05,0.27142612202867045
ST8SIA6,0.8842482100238663,1,3.734014042632401e-06,0.274457885111468
REX1BD,0.46420047732696895,0,1.8771945724248148e-05,0.2980811058306346
CDCP1,0.8973747016706444,1,3.790398302028989e-06,0.31423741785545684
GSTP1,0.12291169451073986,0,3.293942236054796e-05,0.319521539267603
MAP3K1,0.6348448687350835,0,1.4425945313455298e-05,0.3361200000167434
GGT1.1,0.9236276849642004,0,3.177178729389964e-06,0.3539428733694771
HNRNPUL1,0.3937947494033413,0,2.5237952425509586e-05,0.354210886535365
TNFSF12,0.6933174224343676,0,1.28169960546818e-05,0.3555696032647823
LINC00886,0.8448687350835322,0,6.536824203157141e-06,0.3585047820657406
KLF2,0.19331742243436753,1,3.5053903871242174e-05,0.36970999799764914
HADHA,0.3711217183770883,0,2.733340701234438e-05,0.36978956605225766
FCER1G,0.8233890214797136,1,7.725575250419042e-06,0.3721693565217138
EIF3K,0.07637231503579953,0,4.246599215182048e-05,0.3911756513033632
TNFSF10,0.34844868735083534,0,3.075264997280092e-05,0.40157013099208544
ITGAX,0.7398568019093079,1,1.2533953131835627e-05,0.40992374210945415
AL606807.1,0.9355608591885441,1,3.1761836832923686e-06,0.4193564724352654
ITGB1,0.7804295942720764,0,1.0877737061453476e-05,0.42149481216300594
NME4,0.7971360381861575,0,1.0054087766134174e-05,0.4216627633091641
ATP5F1D,0.11217183770883055,0,4.4373314581143765e-05,0.4252266108366116
RHOB,0.9248210023866349,0,3.7848541229808758e-06,0.42833158063544857
CCND2,0.6002386634844868,0,2.0575432397690765e-05,0.43790072438073263
RASGRP2,0.5644391408114559,0,2.2979481463084178e-05,0.4488682216582935
ARID5A,0.8902147971360382,0,5.8426383761120795e-06,0.45278567609478065
CFP,0.9427207637231504,0,3.0618999625846144e-06,0.45480084189248726
FAM102A,0.7052505966587113,0,1.608260793193209e-05,0.46422766843209706
LINC01934,0.5656324582338902,1,2.4289813149145512e-05,0.47576697244152566
PTMA,0.0011933174224343676,1,5.670843571317217e-05,0.4830518051827318
RAC2,0.022673031026252982,0,5.8589533254467246e-05,0.5100439921886546
MRPL3,0.6205250596658711,0,2.277016747235541e-05,0.5105174657494411
CCNL1,0.3353221957040573,0,4.024141175513109e-05,0.515097584122451
ARF4,0.5035799522673031,0,3.0184719887994455e-05,0.5173272070296001
RABGAP1L,0.2732696897374702,1,4.4562315108089616e-05,0.5217013403537061
NKAP,0.7613365155131265,0,1.6160301529749846e-05,0.5760908322893181
CD69,0.6766109785202864,1,2.2970935019862722e-05,0.6043393627116432
RHBDD2,0.45465393794749404,0,3.955196862228991e-05,0.6170543301842777
CYTOR,0.21121718377088305,0,5.728240048259863e-05,0.6178616639188886
PSMB4,0.3914081145584726,0,4.549922948444825e-05,0.6360706636317425
SELENOK,0.49761336515513127,0,3.914264653834103e-05,0.6628871344299199
ANXA2,0.360381861575179,1,5.4733768084393315e-05,0.728051427698454
LMO4,0.8233890214797136,0,1.5260579787605743e-05,0.7351582213108906
EDF1,0.13007159904534607,0,7.75393594985083e-05,0.7583438704718143
CCNG1,0.7183770883054893,0,2.51809779429013e-05,0.760732708319556
PRCP,0.6909307875894988,0,2.832373031353775e-05,0.7796903988855264
LDLRAD4,0.7684964200477327,1,2.1434767835885733e-05,0.7877502576215765
CD96,0.081145584725537,0,8.608217540122446e-05,0.7970654938789762
SLC25A3,0.17780429594272076,1,7.762966973913587e-05,0.8033041608966559
SIPA1,0.6467780429594272,0,3.447297797451333e-05,0.8303450302594579
UBB,0.14558472553699284,0,8.358933494113268e-05,0.8323564464904099
SEPTIN11,0.7303102625298329,0,2.6959782036354552e-05,0.8505100257686954
GALM,0.6945107398568019,0,3.182684940731781e-05,0.8863906856513727
EIF3D,0.3305489260143198,0,7.098317576696346e-05,0.9021194869847102
AC022706.1,0.7696897374701671,0,2.5098998940593312e-05,0.9271939541074815
NELL2,0.89618138424821,1,1.1803064653302437e-05,0.9672684743782644
ANTXR2,0.8054892601431981,0,2.2271670353191384e-05,0.9741743386738039
HSH2D,0.5501193317422435,1,5.184641395677306e-05,0.9805028779131585
CFI,0.9486873508353222,0,5.932740061186673e-06,0.9836902452372757
GGA2,0.8031026252983293,0,0.5649735978611694,1.0
TNRC6A,0.7100238663484487,0,0.566409842628782,1.0
ZBTB25,0.8568019093078759,0,0.4448233732736635,1.0
NPIPB5,0.9343675417661098,0,0.22059805583533754,1.0
LCMT1,0.7243436754176611,0,0.4282222050242739,1.0
PSMA3-AS1,0.918854415274463,0,0.3223470578639563,1.0
KIAA0586,0.8174224343675418,0,0.7869939129740403,1.0
ARHGAP17,0.860381861575179,0,0.5364526444119907,1.0
TIMM9,0.7756563245823389,0,0.01452913260413711,1.0
COG7,0.9212410501193318,0,0.9875400170295737,1.0
ARID4A,0.6420047732696897,0,0.7821437321575874,1.0
ZBTB1,0.7458233890214797,0,0.03820731934253954,1.0
DAAM1,0.9140811455847255,0,0.46650109186677724,1.0
NDUFAB1,0.47255369928400953,0,0.08434971122185606,1.0
