Gene,dropout,highly_variable,F_pval,Adj_F_pval
CCL5,0.22215229704216488,1,1.603853145688044e-82,1.8278845694933207e-78
NKG7,0.39269981120201386,1,7.705009417198384e-74,1.1247305655981739e-69
PECAM1,0.9037130270610447,1,7.547866630631708e-66,6.949209808783932e-61
BEX3,0.906859660163625,1,6.804929737102315e-52,6.476860855928767e-47
ENPP3,0.8143486469477659,1,3.2647924333048654e-49,1.5589643945716096e-44
SIRPG,0.908747640025173,1,4.76631575475406e-48,4.630388647214257e-43
FXYD5,0.0062932662051604785,0,1.1850014564877683e-46,1.0571567600882267e-42
SPINT2,0.9112649465072372,1,2.113498304662472e-43,2.1114724940534276e-38
CST7,0.13341724354940215,1,6.439789569123025e-42,6.587799503893096e-38
NELL2,0.9037130270610447,1,5.4487690773035537e-42,5.016601560516365e-37
EOMES,0.7564505978602895,1,6.370020148975149e-41,2.3186354852257414e-36
TRG-AS1,0.7079924480805538,0,6.131238503229366e-40,1.8613706725681664e-35
HOPX,0.4292007551919446,1,1.2276990360544417e-37,1.906721505611395e-33
PRF1,0.512271869100063,1,1.9400034148494704e-36,3.5261714842872056e-32
GSTM2,0.7319068596601637,1,2.7276355254294115e-35,9.019435895405757e-31
CDKN2A,0.8181246066708622,0,5.135955032081755e-35,2.5033755543285176e-30
C1orf162,0.9131529263687854,1,3.866005443886105e-34,3.9462628764652155e-29
IFITM1,0.025802391441157962,1,4.663310832572656e-31,4.243517964688129e-27
CD52,0.004405286343612335,0,3.123514896311954e-27,2.781248150074266e-23
OGT,0.4713656387665198,0,1.1079516551978282e-26,1.857993377579688e-22
AOAH,0.42039018250471993,1,1.718480691082031e-26,2.6283770334111466e-22
HCST,0.13782252989301447,0,4.3513070038408597e-26,4.47405991532841e-22
GNLY,0.5028319697923223,1,6.112623636609581e-26,1.0899415337689409e-21
MT-CO1,0.0006293266205160479,0,1.396648234456685e-25,1.2389083378432352e-21
CRIP1,0.06859660163624921,1,9.237299890529602e-25,8.791965293813979e-21
IL9R,0.645689112649465,1,5.646571659347152e-25,1.4127947953964257e-20
BHLHE40-AS1,0.9100062932662052,1,3.889905964449751e-25,3.8318253160581797e-20
LAIR2,0.775330396475771,1,1.9409040821145773e-24,7.658407910124864e-20
NUCB2,0.43989930774071745,1,6.447295597341316e-24,1.0204464350844324e-19
ITM2A,0.21522970421648835,0,2.3426275657431292e-23,2.646302170443232e-19
PLEK,0.908747640025173,1,9.180036782214878e-24,8.918237960835734e-19
MT2A,0.2945248584015104,1,9.405669642653756e-23,1.1819163633915922e-18
GZMK,0.8653241032095658,1,4.343216206798767e-23,2.858908876113445e-18
DUSP1,0.500314663310258,1,5.124035494028759e-22,9.090635910088627e-18
PDE7B,0.1157960981749528,1,1.4056218916404543e-21,1.409272006566896e-17
JUNB,0.1881686595342983,1,1.9739071551522058e-21,2.155458413367769e-17
FTH1,0.0006293266205160479,1,1.0794847623934287e-20,9.575658635506045e-17
CTSW,0.5305223410950283,1,1.559766456363593e-20,2.945258282985108e-16
RPS4X,0.0012586532410320957,0,6.112157583844577e-20,5.425256214395897e-16
ALOX5AP,0.5387035871617369,1,6.153396983460585e-20,1.1825338923132713e-15
RPL18A,0.0025173064820641915,0,1.6746845571502226e-19,1.488354504355095e-15
CDCP1,0.8571428571428571,0,4.856354697179189e-20,3.0136109073345446e-15
TCF7,0.8325991189427313,1,6.978597621766989e-20,3.695635741355503e-15
BID,0.8495909376966646,0,2.539069487624528e-19,1.4965089644929124e-14
RPS18,0.0006293266205160479,1,2.252665657052404e-18,1.9982456541614505e-14
CD27,0.5695405915670233,1,2.2293788142288783e-18,4.5912443312796613e-14
IFITM2,0.025802391441157962,1,2.04081595109307e-17,1.8571009872631306e-13
RPS2,0.004405286343612335,1,3.284548141069725e-17,2.9246357851426405e-13
RESF1,0.33354310887350536,0,2.415736459082959e-17,3.2133366756208887e-13
SH3BGRL3,0.0025173064820641915,0,3.905848183836775e-17,3.471272672169967e-13
IKZF3,0.9125235997482694,1,3.861632859055738e-18,3.913441247812645e-13
KRAS,0.3574575204531152,0,3.4740415903297996e-17,4.793049436979126e-13
PASK,0.8753933291378225,1,6.7459486068422015e-18,4.799328477830989e-13
RPS19,0.0018879798615481435,0,5.446733861191765e-17,4.837662978226348e-13
ARAP2,0.5607300188797986,0,4.0042115016468224e-17,8.080983560856079e-13
RAMP1,0.8263058527375708,1,1.5840763721661855e-17,8.084807266439635e-13
EPAS1,0.9295154185022027,1,6.88197498948955e-18,8.655610487483903e-13
SELPLG,0.10950283196979232,0,9.948462191365498e-17,9.90380660294963e-13
B2M,0.0,0,1.5131303262971016e-16,1.3413900342623806e-12
PSTPIP2,0.9301447451227187,0,1.2458133020117468e-17,1.5810027379809863e-12
FOS,0.4946507237256136,1,1.0501221566432032e-16,1.8421581578732416e-12
RPL32,0.0018879798615481435,0,5.378150844878288e-16,4.776749130145985e-12
RPL19,0.0012586532410320957,0,7.688495382366453e-16,6.8244407609498615e-12
SORL1,0.5317809943360604,0,4.753004747417538e-16,8.999076623578754e-12
