Gene,dropout,highly_variable,F_pval,Adj_F_pval
GSTM2,0.6974789915966386,1,8.44651174913737e-172,2.327724901626231e-167
CD7,0.22478991596638656,1,9.345256952842544e-140,1.0050360388819453e-135
CCL5,0.1407563025210084,1,1.0352398418188916e-109,1.0044641103061591e-105
IFITM2,0.20098039215686275,1,1.0158439601836501e-105,1.0599353273585413e-101
PLAAT3,0.6022408963585434,1,2.263437296747571e-104,4.744147040313709e-100
S100A6,0.18347338935574228,1,1.3978521005106742e-101,1.427252071155686e-97
IL32,0.0007002801120448179,0,5.566147480564506e-90,4.643749079672449e-86
HLA-A,0.0,0,7.613850928390444e-89,6.347667518999113e-85
ZEB2,0.7542016806722689,1,6.082905304727057e-89,2.0632029406959408e-84
MAL,0.48179271708683474,1,5.807164831378553e-85,9.342657811954311e-81
S100A4,0.2542016806722689,1,3.5563011740202753e-79,3.9754558463651127e-75
ANXA1,0.4964985994397759,1,2.8434736913434392e-77,4.708237184316384e-73
NME2,0.18207282913165265,0,4.972401265953453e-72,5.068288575160499e-68
LINC01943,0.6183473389355743,1,4.474147063609338e-71,9.773537007518566e-67
SESN3,0.45938375350140054,1,3.343031343579508e-69,5.15538563480714e-65
RPS16,0.0056022408963585435,1,9.10627326297357e-67,7.634671287055663e-63
ARG2,0.7464985994397759,1,2.125665941214224e-66,6.9907609633473665e-62
ITM2C,0.6071428571428571,1,2.720758700704437e-61,5.773845709614917e-57
EEF1A1,0.0,0,3.3487172353164845e-60,2.791825559083353e-56
RPS12,0.0014005602240896359,0,4.7698695004216095e-55,3.982217537988875e-51
RPL10A,0.02100840336134454,1,1.2962086392139883e-54,1.1038390382747772e-50
EEF1B2,0.05672268907563025,1,1.7620487511668853e-54,1.5573575520524904e-50
GPR15,0.726890756302521,1,2.6346364885899305e-54,8.042556197660109e-50
B2M,0.0,0,3.8902094386280733e-53,3.2432676089842248e-49
SPOCK2,0.626750700280112,1,1.0127210561685622e-52,2.2620418716427745e-48
RPS8,0.0014005602240896359,1,8.857146088162798e-52,7.394559219218438e-48
HLA-B,0.0007002801120448179,0,1.1549940764997519e-51,9.635933468347302e-48
IL7R,0.3858543417366947,1,1.95853776779022e-50,2.6587063102002015e-46
LYST,0.4418767507002801,1,2.0746886569736984e-49,3.0990788064987356e-45
RPS2,0.0021008403361344537,1,4.375864802292728e-49,3.6558388193254925e-45
RPL12,0.0021008403361344537,1,9.884199290735288e-48,8.257805279104295e-44
JAML,0.4572829131652661,1,8.810829554689766e-48,1.3534839381207299e-43
AOAH,0.39985994397759106,1,7.199697483326438e-45,1.0001645002054529e-40
PLIN2,0.3158263305322129,1,5.610626726129054e-44,6.836830632801817e-40
RPL13,0.0,0,9.025069104533872e-44,7.52420011244989e-40
MZB1,0.5875350140056023,1,4.115662404486247e-43,8.318833993503604e-39
EEF2,0.018207282913165267,0,1.255554785982508e-41,1.0661680483631419e-37
RPL3,0.0028011204481792717,0,1.739544564616e-41,1.4543320627999109e-37
KLK1,0.8928571428571429,0,2.284885772836739e-42,1.7779153175597242e-37
RPS24,0.0014005602240896359,0,2.3755345595691737e-41,1.983260838557298e-37
NKG7,0.5777310924369747,1,1.3790605126131748e-41,2.7227265109354595e-37
FKBP11,0.4495798319327731,1,4.2528908472616453e-41,6.441688195787511e-37
RPL6,0.004201680672268907,0,8.671473587165186e-41,7.259911358858517e-37
IL2RA,0.6589635854341737,1,7.595606258070202e-41,1.8568272087351675e-36
RPL17,0.0014005602240896359,0,4.830252184841756e-40,4.0326291865397424e-36
EOMES,0.8242296918767507,1,1.929429685842e-38,9.151520221256918e-34
EGR1,0.7352941176470589,1,3.898182629372352e-38,1.2277456130629203e-33
RPL4,0.04831932773109244,1,4.240581096783576e-36,3.714872607383909e-32
PLAAT4,0.04061624649859944,1,2.559309352496984e-35,2.224027871422174e-31
LHFPL6,0.9299719887955182,1,2.2040157104689424e-36,2.6239327180840438e-31
UQCRB,0.056022408963585436,0,3.708860610078772e-34,3.275583149413335e-30
LTB,0.37254901960784315,1,2.8398929897921006e-34,3.7733924395335434e-30
RPLP0,0.0014005602240896359,1,5.791807904371036e-34,4.8354025223143495e-30
TSC22D3,0.5364145658263305,1,1.3196959509499723e-33,2.3733069100156864e-29
SH2D1B,0.9404761904761905,1,2.597099728599571e-33,3.637539433472216e-28
LY6E,0.12955182072829133,0,4.999456502991101e-32,4.788391757026852e-28
GLIPR1,0.7310924369747899,0,2.8663466221871044e-32,8.886597134099038e-28
RPL36A,0.028711484593837534,1,3.058096103545039e-31,2.6248994825799657e-27
GAS5,0.12885154061624648,1,9.524208106227783e-31,9.114786593067108e-27
PDE6G,0.7542016806722689,1,5.034116641777426e-30,1.707474264156345e-25
MAF,0.7703081232492998,0,1.9386122628354243e-29,7.036474543155414e-25
RPL15,0.0021008403361344537,0,9.493535268799229e-29,7.931423006973913e-25
PLPP1,0.4418767507002801,1,2.605280167408653e-28,3.8916531040300534e-24
LIMA1,0.44607843137254904,1,3.4083741484977935e-28,5.129898686999403e-24
SNED1,0.3536414565826331,1,1.1235735589079955e-27,1.4492316773737367e-23
RAMP1,0.6827731092436975,1,5.817747668055624e-28,1.5289549442969507e-23
PALLD,0.9299719887955182,1,1.6611625481558672e-28,1.9776532170156971e-23
RNF130,0.9180672268907563,1,6.098598024347479e-28,6.205576816153029e-23
FOXP3,0.8417366946778712,1,1.7113082755879392e-27,9.014835791870555e-23
SH3BGRL3,0.007703081232492998,0,2.3540983323854587e-26,1.9778472981125849e-22
IER2,0.3599439775910364,1,1.8933770918170092e-26,2.4662036230935627e-22
RPS6,0.004901960784313725,1,6.659030456144248e-26,5.578981640505624e-22
RPS5,0.0035014005602240898,1,7.684308033196636e-26,6.428917823745734e-22
FTH1,0.0007002801120448179,1,9.310908701133976e-26,7.767944321054902e-22
PTPRC,0.0392156862745098,0,1.9934150372005408e-25,1.729743182494258e-21
CD82,0.4096638655462185,0,1.4409787696924686e-25,2.035016883057946e-21
RPL7A,0.0014005602240896359,0,2.8673179187223463e-25,2.393835659847009e-21
DPP4,0.7507002801120448,1,2.044323643361295e-25,6.836560515335969e-21
RPL13A,0.0063025210084033615,0,8.409354083061611e-25,7.055344958873295e-21
MYO1D,0.84593837535014,1,2.530545435606188e-25,1.369397300891567e-20
CNIH1,0.38375350140056025,0,1.0137099726893241e-23,1.3714155068659044e-19
CAPG,0.5028011204481793,1,8.330423016789414e-24,1.3968401689395766e-19
CD40LG,0.7156862745098039,1,7.303861677718186e-24,2.1417289897682499e-19
DOCK5,0.9467787114845938,1,2.507753926432242e-24,3.928342411066113e-19
RUNX1,0.42787114845938373,1,6.93819855264897e-23,1.0110268198793687e-18
MYL6,0.007703081232492998,0,4.591399783318673e-22,3.857565136962432e-18
RAB6B,0.938375350140056,0,3.149000646520678e-23,4.260181347838778e-18
ANXA5,0.36064425770308123,0,4.668081909844442e-22,6.0870336039462e-18
RPS7,0.004201680672268907,0,7.828744673380421e-22,6.554363777801465e-18
EIF4A1,0.14425770308123248,0,6.889042786929371e-22,6.711594123771839e-18
CD27,0.719187675070028,1,5.272181070582529e-22,1.565250869825877e-17
RPS23,0.0007002801120448179,1,2.2447889944138503e-21,1.872792063679017e-17
AHI1,0.37675070028011204,1,3.066025181000757e-21,4.101320602444576e-17
LINC00271,0.7542016806722689,1,1.6927040641659343e-21,5.741322325371679e-17
COL6A2,0.9390756302521008,0,4.308151246677703e-22,5.895351415562329e-17
MYO1E,0.7689075630252101,1,2.0615958159833654e-21,7.437510522998345e-17
SLC25A6,0.05672268907563025,0,8.838067036850148e-21,7.811378905532421e-17
LGMN,0.8865546218487395,1,1.0968650806297555e-21,8.060763978429792e-17
AC108134.3,0.9397759103641457,0,6.67160482434577e-22,9.235701154950573e-17
LGALS1,0.29551820728291317,1,1.45482944410895e-20,1.721678714897203e-16
RPL5,0.0070028011204481795,0,2.9174737303738624e-20,2.4494508662835826e-16
NCF4,0.5798319327731093,1,2.162558610831081e-20,4.2909617709626968e-16
PPARG,0.9481792717086834,0,2.8621575980267054e-21,4.6046840099596e-16
RORA,0.6904761904761905,0,2.0565921925796076e-20,5.53941525077323e-16
NAALADL1,0.8956582633053222,0,1.104886748838011e-20,8.828145971939094e-16
ASB2,0.3851540616246499,1,7.958536847690143e-20,1.0791373506429066e-15
GPR55,0.8921568627450981,0,1.9665096066190723e-20,1.5202442183809889e-15
TKT,0.19117647058823528,0,1.523031838484956e-19,1.5698747595391586e-15
AC017002.3,0.9180672268907563,1,2.599375623682143e-20,2.6449726711609476e-15
CD3D,0.014005602240896359,0,5.432872279583202e-19,4.593723483401703e-15
GPR171,0.47128851540616246,0,5.527367012116122e-19,8.71584221693474e-15
CST7,0.052521008403361345,0,1.5015443533682424e-18,1.3212298515385308e-14
MYC,0.7780112044817927,1,4.446847100124792e-19,1.6700556524574537e-14
